rank,mp_id,mp_name,state,constituency,party,total_works,anomalous_works,anomaly_rate_pct,avg_cost_overrun_pct,avg_delay_days,inspection_rate_pct,utilization_pct,risk_score,risk_tier
77,77,Sudhakar Singh,Bihar,BUXAR,YSR Congress,22,12,54.55,6.43,33.0,81.82,54.82,100,Moderate Risk
78,78,Sunil Kumar,Bihar,VALMIKI NAGAR,TDP,29,17,58.62,5.11,96.0,79.31,54.46,100,Moderate Risk
79,79,Surendra Prasad Yadav,Bihar,JAHANABAD,DMK,13,9,69.23,7.79,55.1,69.23,63.1,100,Moderate Risk
80,80,Tariq Anwar,Bihar,KATIHAR,SHS,7,4,57.14,6.35,44.3,85.71,66.1,100,Clean / Exemplary
81,81,Vijaylakshmi Devi,Bihar,SIWAN,BSP,12,8,66.67,10.56,84.0,91.67,40.86,100,Moderate Risk
82,82,Vivek Thakur,Bihar,NAWADA,INC,18,10,55.56,5.51,81.6,77.78,21.35,100,High Risk
83,83,Manish Tewari,Chandigarh,CHANDIGARH,BJP,23,11,47.83,6.01,25.7,78.26,32.08,100,High Risk
84,84,Bhojraj Nag,Chhattisgarh,KANKER(ST),BJP,11,7,63.64,5.12,28.4,45.45,61.66,100,Moderate Risk
85,85,Brijmohan Agrawal,Chhattisgarh,RAIPUR,DMK,29,15,51.72,9.17,98.5,72.41,69.72,100,Clean / Exemplary
86,86,Chintamani Maharaj,Chhattisgarh,SARGUJA(ST),DMK,42,25,59.52,17.75,37.2,64.29,56.41,100,Moderate Risk
87,87,Jyotsna Charandas Mahant,Chhattisgarh,KORBA,BJP,37,23,62.16,2.63,75.6,59.46,41.85,100,Moderate Risk
88,88,Kamlesh Jangde,Chhattisgarh,JANJGIR CHAMPA(SC),JDU,8,5,62.5,2.33,79.8,75.0,60.11,100,Moderate Risk
89,89,Mahesh Kashyap,Chhattisgarh,BASTAR(ST),AAP,10,5,50.0,11.17,16.6,70.0,65.52,100,Clean / Exemplary
90,90,Radhe Shyam Rathiya,Chhattisgarh,RAIGARH(ST),BJP,18,14,77.78,8.82,104.2,50.0,48.18,100,Moderate Risk
91,91,Roop Kumari Choudhary,Chhattisgarh,MAHASAMUND,SHS,24,13,54.17,15.8,28.9,75.0,34.73,100,High Risk
92,92,Santosh Pandey,Chhattisgarh,RAJNANDGAON,BJP,37,22,59.46,7.94,44.6,67.57,52.08,100,Moderate Risk
93,93,Tokhan Sahu,Chhattisgarh,BILASPUR,INC,18,15,83.33,5.28,82.4,72.22,48.36,100,Moderate Risk
94,94,Vijay Baghel,Chhattisgarh,DURG,AAP,29,18,62.07,2.33,65.8,58.62,87.49,100,Clean / Exemplary
95,95,Bansuri Swaraj,Delhi,NEW DELHI,TMC,44,28,63.64,13.14,52.5,72.73,45.53,100,Moderate Risk
96,96,Harsh Malhotra,Delhi,EAST DELHI,BJP,49,32,65.31,11.97,73.6,75.51,45.33,100,Moderate Risk
97,97,Kamaljeet Sehrawat,Delhi,WEST DELHI,AAP,39,26,66.67,8.77,69.8,66.67,69.59,100,Clean / Exemplary
98,98,Manoj Tiwari,Delhi,NORTH EAST DELHI,BJP,43,29,67.44,8.52,59.7,74.42,21.32,100,High Risk
99,99,Praveen Khandelwal,Delhi,CHANDINI CHOWK,INC,21,11,52.38,3.94,57.0,61.9,36.99,100,High Risk
100,100,Ramvir Singh Bidhuri,Delhi,SOUTH DELHI,INC,11,7,63.64,9.51,20.8,72.73,38.1,100,High Risk
101,101,Yogendra Chandoliya,Delhi,NORTH WEST DELHI(SC),BJP,34,25,73.53,17.78,74.2,58.82,50.85,100,Moderate Risk
102,102,Captain Viriato Fernandes,Goa,SOUTH GOA,INC,40,31,77.5,3.91,74.8,62.5,68.87,100,Clean / Exemplary
103,103,Shripad Yesso Naik,Goa,NORTH GOA,BJP,42,35,83.33,17.03,58.0,57.14,72.58,100,Clean / Exemplary
104,104,Bharatbhai Manubhai Sutariya,Gujarat,AMRELI,INC,53,32,60.38,9.86,61.3,66.04,85.15,100,Clean / Exemplary
105,105,Bharatsinhji Shankarji Dabhi,Gujarat,PATAN,TMC,19,12,63.16,7.11,38.7,73.68,27.22,100,High Risk
106,106,C R Patil,Gujarat,NAVSARI,BJP,46,29,63.04,6.99,54.1,71.74,66.05,100,Clean / Exemplary
107,107,Chandubhai Chhaganbhai Shihora,Gujarat,SURENDRANAGAR,BJP,39,22,56.41,10.84,66.3,76.92,52.81,100,Moderate Risk
108,108,Devusinh Jesingbhai Chauhan,Gujarat,KHEDA,INC,37,24,64.86,12.35,46.6,64.86,32.92,100,High Risk
109,109,Dhaval Laxmanbhai Patel,Gujarat,VALSAD(ST),BJD,27,20,74.07,11.04,86.4,74.07,82.34,100,Clean / Exemplary
110,110,Dineshbhai Makwana,Gujarat,AHMEDABAD WEST(SC),BJP,20,13,65.0,14.16,72.8,65.0,36.11,100,High Risk
111,111,Dr. Hemang Joshi,Gujarat,VADODARA,NCP,17,8,47.06,10.77,59.5,88.24,78.93,100,Clean / Exemplary
112,112,Dr. Mansukh Mandaviya,Gujarat,PORBANDAR,YSR Congress,12,9,75.0,4.61,62.2,75.0,28.18,100,High Risk
113,113,Geniben Nagaji Thakor,Gujarat,BANASKANTHA,BJP,15,9,60.0,2.29,65.8,86.67,32.5,100,High Risk
114,114,Haribhai Patel,Gujarat,MAHESANA,JDU,37,20,54.05,6.74,41.0,78.38,20.77,100,High Risk
115,115,Hasmukh Bhai Soma Bhai Patel,Gujarat,AHMEDABAD EAST,BJP,17,11,64.71,9.62,39.9,64.71,25.8,100,High Risk
116,116,Jashubhai Bhilubhai Rathva,Gujarat,CHHOTA UDAIPUR(ST),RJD,46,24,52.17,4.45,65.1,84.78,68.82,100,Clean / Exemplary
117,117,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),SHS,48,25,52.08,6.76,53.8,68.75,53.19,100,Moderate Risk
118,118,Mansukhbhai Dhanjibhai Vasava,Gujarat,BHARUCH,CPI(M),52,35,67.31,7.62,45.7,69.23,87.56,100,Clean / Exemplary
119,119,Mitesh Rameshbhai Bakabhai Patel,Gujarat,ANAND,SHS,32,23,71.88,12.54,82.6,65.62,32.4,100,High Risk
120,120,Mukeshkumar Chandrakaant Dalal,Gujarat,SURAT,AAP,21,16,76.19,8.22,65.4,80.95,45.65,100,Moderate Risk
121,121,Nimuben Jayantibhai Bambhaniya,Gujarat,BHAVNAGAR,NCP,16,13,81.25,20.72,100.1,50.0,86.6,100,Clean / Exemplary
122,122,Parshottambhai Rupala,Gujarat,RAJKOT,BJP,34,23,67.65,10.47,56.3,73.53,60.49,100,Moderate Risk
123,123,Prabhubhai Nagarbhai Vasava,Gujarat,BARDOLI(ST),BJP,36,23,63.89,17.61,57.1,66.67,36.42,100,High Risk
124,124,Rajeshbhai Naranbhai Chudasama,Gujarat,JUNAGADH,YSR Congress,35,22,62.86,12.16,30.8,74.29,34.4,100,High Risk
125,125,Rajpalsinh Mahendrasinh Jadav,Gujarat,PANCHMAHAL,BJP,34,22,64.71,7.59,53.6,61.76,36.85,100,High Risk
126,126,Shobhanaben Mahendrasinh Baraiya,Gujarat,SABARKANTHA,SP,12,5,41.67,-3.53,36.4,83.33,43.46,100,Moderate Risk
127,127,Shri Amit Shah,Gujarat,GANDHINAGAR,BJD,38,26,68.42,11.7,53.4,63.16,78.59,100,Clean / Exemplary
128,128,Smt Poonamben Hematbhai Maadam,Gujarat,JAMNAGAR,INC,34,20,58.82,11.48,57.7,64.71,43.84,100,Moderate Risk
129,129,Vinod Chavda,Gujarat,KACHCHH(SC),TMC,30,17,56.67,9.05,45.1,53.33,45.2,100,Moderate Risk
130,130,Deepender Singh Hooda,Haryana,ROHTAK,BJP,13,8,61.54,7.63,101.2,76.92,31.83,100,High Risk
131,131,Jai Parkash,Haryana,HISAR,SHS,29,20,68.97,10.47,80.2,58.62,66.11,100,Clean / Exemplary
132,132,Krishan Pal Gurjar,Haryana,FARIDABAD,BJP,32,20,62.5,7.89,78.2,78.12,75.76,100,Clean / Exemplary
133,133,Manohar Lal,Haryana,KARNAL,NCP,46,27,58.7,9.17,60.7,65.22,53.22,100,Moderate Risk
134,134,Naveen Jindal,Haryana,KURUKSHETRA,AAP,28,18,64.29,7.13,98.1,75.0,28.53,100,High Risk
135,135,Rao Inderjit Singh,Haryana,GURGAON,YSR Congress,21,12,57.14,9.03,69.2,66.67,70.54,100,Clean / Exemplary
136,136,Satpal Brahamchari,Haryana,SONEPAT,BJP,40,22,55.0,6.63,45.2,75.0,72.97,100,Clean / Exemplary
137,137,Selja,Haryana,SIRSA(SC),BJP,32,18,56.25,8.54,47.2,75.0,74.29,100,Clean / Exemplary
138,138,Shri  Dharambir Singh,Haryana,BHIWANI MAHENDRAGARH,INC,29,20,68.97,8.36,66.2,65.52,65.58,100,Clean / Exemplary
139,139,Varun Chaudhry,Haryana,AMBALA (SC),BJP,12,6,50.0,17.69,47.2,75.0,17.04,100,High Risk
140,140,Anurag Singh Thakur,Himachal Pradesh,HAMIRPUR_HP,SP,49,31,63.27,6.59,53.4,71.43,39.49,100,High Risk
141,141,Kangana Ranaut,Himachal Pradesh,MANDI,TMC,11,5,45.45,13.54,49.6,63.64,77.26,100,Clean / Exemplary
142,142,Rajeev Bhardwaj,Himachal Pradesh,KANGRA,INC,14,6,42.86,-1.7,69.4,71.43,53.7,100,Moderate Risk
143,143,Suresh Kumar Kashyap,Himachal Pradesh,SHIMLA (SC),INC,34,22,64.71,11.06,49.8,50.0,32.5,100,High Risk
144,144,Abdul Rashid Sheikh,Jammu And Kashmir,BARAMULLAH,TDP,39,24,61.54,8.51,78.6,69.23,36.24,100,High Risk
145,145,Aga Syed Ruhullah Mehdi,Jammu And Kashmir,SRINAGAR,SHS,16,8,50.0,14.5,21.9,75.0,47.21,100,Moderate Risk
146,146,Jitendra Singh,Jammu And Kashmir,UDHAMPUR,INC,51,33,64.71,10.67,75.7,76.47,57.76,100,Moderate Risk
147,147,Mian Altaf Ahmad,Jammu And Kashmir,ANANTNAG,TMC,17,12,70.59,8.69,24.1,58.82,51.83,100,Moderate Risk
148,148,Shri Jugal Kishore Sharma,Jammu And Kashmir,JAMMU,SHS,15,8,53.33,12.18,22.9,73.33,56.5,100,Moderate Risk
149,149,Annpurna Devi,Jharkhand,KODARMA,JDU,22,16,72.73,12.97,76.9,59.09,33.72,100,High Risk
150,150,Bidyut Baran Mahato,Jharkhand,JAMSHEDPUR,INC,16,11,68.75,15.82,70.9,81.25,74.4,100,Clean / Exemplary
151,151,Dulu Mahato,Jharkhand,DHANBAD,DMK,19,11,57.89,17.25,58.9,63.16,69.51,100,Clean / Exemplary
152,152,Joba Majhi,Jharkhand,SINGHBHUM(ST),AITC,36,23,63.89,8.92,71.6,69.44,81.23,100,Clean / Exemplary
153,153,Kali Charan Munda,Jharkhand,KHUNTI(ST),TDP,35,25,71.43,4.38,93.0,60.0,82.21,100,Clean / Exemplary
154,154,Kali Charan Singh,Jharkhand,CHATRA,INC,15,14,93.33,15.86,89.5,60.0,58.56,100,Moderate Risk
155,155,Manish Jaiswal,Jharkhand,HAZARIBAGH,BJP,20,11,55.0,5.22,43.0,90.0,42.76,100,Moderate Risk
156,156,Nalin Soren,Jharkhand,DUMKA(ST),CPI(M),26,14,53.85,8.44,47.2,65.38,62.52,100,Moderate Risk
157,157,Nishikant Dubey,Jharkhand,GODDA,INC,33,19,57.58,5.36,71.4,75.76,34.84,100,High Risk
158,158,Sanjay Seth,Jharkhand,RANCHI,BJP,20,15,75.0,4.39,94.0,80.0,43.98,100,Moderate Risk
159,159,Shri Chandra Prakash Choudhary,Jharkhand,GIRIDIH,BJP,45,28,62.22,11.3,56.0,71.11,72.78,100,Clean / Exemplary
160,160,Sukhdeo Bhagat,Jharkhand,LOHARDAGA(ST),NCP,28,18,64.29,11.1,74.5,60.71,64.8,100,Moderate Risk
161,161,Vijay Kumar Hansdak,Jharkhand,RAJMAHAL(ST),BSP,36,21,58.33,15.9,45.1,72.22,56.66,100,Moderate Risk
162,162,Vishnu Dayal Ram,Jharkhand,PALAMU(SC),SP,43,34,79.07,5.92,93.2,55.81,55.79,100,Moderate Risk
163,163,Basavaraj Bommai,Karnataka,HAVERI,BJP,7,4,57.14,2.49,59.4,85.71,27.05,100,High Risk
164,164,Captain Brijesh Chowta,Karnataka,DAKSHINA KANNADA,BJP,46,29,63.04,11.23,88.2,65.22,44.73,100,Moderate Risk
165,165,Dr C N Manjunath,Karnataka,BANGALORE RURAL,INC,37,22,59.46,5.03,55.6,75.68,88.77,100,Clean / Exemplary
166,166,Dr. Prabha Mallikarjun,Karnataka,DAVANAGERE,DMK,33,20,60.61,12.39,54.8,63.64,75.58,100,Clean / Exemplary
167,167,Dr.K.Sudhakar,Karnataka,CHIKBALLAPUR,TMC,19,14,73.68,11.34,68.6,78.95,30.73,100,High Risk
168,168,E. Tukaram,Karnataka,BELLARY(ST),INC,20,13,65.0,17.6,60.7,60.0,76.2,100,Clean / Exemplary
169,169,G. Kumar Naik,Karnataka,RAICHUR(ST),Others,33,22,66.67,3.16,63.8,72.73,49.02,100,Moderate Risk
170,170,Govind Makthappa Karjol,Karnataka,CHITRADURGA(SC),AITC,18,11,61.11,5.8,98.3,61.11,50.53,100,Moderate Risk
171,171,H.D. Kumaraswamy,Karnataka,MANDYA,RJD,34,21,61.76,8.02,66.6,50.0,39.06,100,High Risk
172,172,Jagadish Shettar,Karnataka,BELGAUM,BJP,15,7,46.67,2.5,48.9,73.33,75.96,100,Clean / Exemplary
173,173,K. Rajashekar Basavaraj Hitnal,Karnataka,KOPPAL,BJP,20,13,65.0,14.03,74.5,60.0,32.36,100,High Risk
174,174,Kota Srinivas Poojary,Karnataka,UDUPI CHIKMAGALUR,BSP,40,17,42.5,5.8,56.2,75.0,80.8,100,Clean / Exemplary
175,175,M. Mallesh Babu,Karnataka,KOLAR(SC),NCP,42,26,61.9,8.06,78.7,64.29,64.84,100,Moderate Risk
176,176,P C Mohan,Karnataka,BANGALORE CENTRAL,YSR Congress,53,26,49.06,6.29,49.6,62.26,39.28,100,High Risk
177,177,Parvatagouda Chandanagouda Gaddigoudar,Karnataka,BAGALKOT,NCP,34,21,61.76,10.58,71.7,70.59,50.76,100,Moderate Risk
178,178,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,RJD,41,24,58.54,4.81,76.3,80.49,62.04,100,Moderate Risk
179,179,Priyanka Satish Jarkiholi,Karnataka,CHIKKODI,BSP,10,8,80.0,23.62,86.2,60.0,30.64,100,High Risk
180,180,Radhakrishna,Karnataka,GULBARGA(SC),TMC,37,24,64.86,9.59,53.6,72.97,76.11,100,Clean / Exemplary
181,181,Ramesh Chandappa Jigajinagi,Karnataka,BIJAPUR(SC),BJP,38,27,71.05,6.13,78.3,60.53,29.66,100,High Risk
182,182,Sagar Eshwar Khandre,Karnataka,BIDAR,BJP,23,16,69.57,10.61,97.1,73.91,65.99,100,Clean / Exemplary
183,183,Shobha Karandlaje,Karnataka,BANGALORE NORTH,INC,49,34,69.39,8.26,89.4,57.14,77.51,100,Clean / Exemplary
184,184,Shreyas. M. Patel,Karnataka,HASSAN,INC,37,20,54.05,11.44,55.0,72.97,36.79,100,High Risk
185,185,Shri B Y Raghavendra,Karnataka,SHIMOGA,TDP,25,14,56.0,20.61,80.2,88.0,51.29,100,Moderate Risk
186,186,Shri Ls Tejasvi Surya,Karnataka,BANGALORE SOUTH,AAP,22,11,50.0,1.07,25.6,77.27,64.19,100,Moderate Risk
187,187,Sunil Bose,Karnataka,CHAMARAJANAGAR(SC),TDP,25,20,80.0,6.12,93.7,60.0,88.67,100,Clean / Exemplary
188,188,V. Somanna,Karnataka,TUMKUR,SP,7,6,85.71,17.05,86.0,42.86,64.07,100,Moderate Risk
189,189,Vishweshwar Hegde Kageri,Karnataka,UTTARA KANNADA,BJP,20,14,70.0,5.99,65.0,60.0,38.73,100,High Risk
190,190,Yaduveer Krishnadatta Chamaraja Wadiyar,Karnataka,MYSORE,INC,31,21,67.74,12.38,62.5,77.42,56.33,100,Moderate Risk
191,191,Adv Adoor Prakash,Kerala,ATTINGAL,BJP,40,27,67.5,11.47,75.8,70.0,76.59,100,Clean / Exemplary
192,192,Adv Dean Kuriakose,Kerala,IDUKKI,BJP,15,10,66.67,-0.45,65.9,66.67,28.54,100,High Risk
193,193,Adv K Francis George,Kerala,KOTTAYAM,AITC,28,22,78.57,17.86,56.5,67.86,54.09,100,Moderate Risk
194,194,Anto Antony,Kerala,PATHANAMTHITTA,BJP,34,24,70.59,8.55,68.0,64.71,64.94,100,Moderate Risk
195,195,Dr Shashi Tharoor,Kerala,THIRUVANANTHAPURAM,Independent,40,28,70.0,14.06,66.1,70.0,85.07,100,Clean / Exemplary
196,196,Dr. M.P Abdussamad Samadani,Kerala,PONNANI,DMK,28,22,78.57,17.45,109.4,57.14,65.98,100,Clean / Exemplary
197,197,E.T. Mohammed Basheer,Kerala,MALAPPURAM,INC,24,13,54.17,7.45,63.8,75.0,66.79,100,Clean / Exemplary
