mp_id,mp_name,state,constituency,constituency_type,house,party,allocated_amount,released_amount,expenditure_amount,utilization_pct,total_works_recommended,total_works_completed,risk_tier,deviation_pct
19,Magunta Sreenivasulu Reddy,Andhra Pradesh,ONGOLE,General,Lok Sabha,BSP,147000000.0,136966008.59972575,64066576.973246895,43.58,47,19,Moderate Risk,0.0
20,Midhun Reddy,Andhra Pradesh,RAJAMPET,General,Lok Sabha,AAP,178951477.11,150385576.37143087,46347014.732101515,25.9,58,14,High Risk,21.74
21,Prabhakar Reddy Vemireddy,Andhra Pradesh,NELLORE(SC),SC,Lok Sabha,BJD,147000000.0,140986228.84721804,107209206.54332082,72.93,75,58,Clean / Exemplary,0.0
22,Putta Mahesh Kumar,Andhra Pradesh,ELURU,General,Lok Sabha,TMC,147000000.0,130126851.48637693,60913497.57894234,41.44,23,13,Moderate Risk,0.0
23,Sivanath Kesineni,Andhra Pradesh,VIJAYAWADA,General,Lok Sabha,BJP,147000000.0,133298643.69290426,41805461.047939725,28.44,24,5,High Risk,0.0
24,Sribharat Mathukumli,Andhra Pradesh,VISAKHAPATNAM,General,Lok Sabha,BJP,164841922.0,133774085.24966805,69387454.16304219,42.09,37,19,Moderate Risk,12.14
25,Tangella Uday Srinivas,Andhra Pradesh,KAKINADA,General,Lok Sabha,BJP,199417886.76,160105253.89214957,90345553.62969007,45.3,62,27,Moderate Risk,35.66
26,Y S Avinash Reddy,Andhra Pradesh,KADAPA,General,Lok Sabha,BJP,156430260.11,139663913.38982072,80150965.68748137,51.24,77,50,Moderate Risk,6.42
27,Kiren Rijiju,Arunachal Pradesh,ARUNACHAL WEST,General,Lok Sabha,AAP,147000000.0,136842629.69986537,52117193.155963436,35.45,32,9,High Risk,0.0
28,Shri Tapir Gao,Arunachal Pradesh,ARUNACHAL EAST,General,Lok Sabha,YSR Congress,147000000.0,126695557.90516579,122793172.16306949,83.53,68,45,Clean / Exemplary,0.0
29,Amarsing Tisso,Assam,DIPHU (ST),ST,Lok Sabha,BJP,147000000.0,143841234.55560535,119073294.73031616,81.0,50,46,Clean / Exemplary,0.0
30,Bijuli Kalita Medhi,Assam,GUWAHATI,General,Lok Sabha,TMC,147000000.0,119255316.30504602,80091123.2315294,54.48,22,14,Moderate Risk,0.0
31,Dilip Saikia,Assam,DARRANG-UDALGURI,General,Lok Sabha,INC,147000000.0,136589966.89514908,42528013.15766351,28.93,52,19,High Risk,0.0
32,Gaurav Gogoi,Assam,JORHAT,General,Lok Sabha,BJP,147000000.0,120660792.31034648,53177596.56891254,36.18,66,19,High Risk,0.0
33,Joyanta Basumatary,Assam,KOKRAJHAR (ST),ST,Lok Sabha,INC,147000000.0,131708343.23693493,65488245.80998097,44.55,55,33,Moderate Risk,0.0
34,Kamakhya Prasad Tasa,Assam,KAZIRANGA,General,Lok Sabha,BJD,147000000.0,142607102.83537072,119811025.59594573,81.5,71,47,Clean / Exemplary,0.0
35,Kripanath Mallah,Assam,KARIMGANJ (SC),SC,Lok Sabha,BJP,147000000.0,144672926.7257812,93838071.09587263,63.84,55,35,Moderate Risk,0.0
36,Parimal Suklabaidya,Assam,SILCHAR,General,Lok Sabha,BJP,148300157.11,121728021.1600678,85565403.14501911,57.7,62,37,Moderate Risk,0.88
37,Phani Bhusan Choudhury,Assam,BARPETA,General,Lok Sabha,DMK,147000000.0,145754183.36445817,77269657.50399458,52.56,26,12,Moderate Risk,0.0
38,Pradan Baruah,Assam,LAKHIMPUR,General,Lok Sabha,TMC,147000000.0,135933419.22728115,84961588.70586959,57.8,20,8,Moderate Risk,0.0
39,Pradyut Bordoloi,Assam,NOWGONG,General,Lok Sabha,INC,98000000.0,86180837.73465596,83875306.65993091,85.59,44,41,Clean / Exemplary,-33.33
40,Rakibul Hussain,Assam,DHUBRI,General,Lok Sabha,BJP,147000000.0,133623791.41556999,109296442.24482165,74.35,79,56,Clean / Exemplary,0.0
41,Ranjit Dutta,Assam,SONITPUR,General,Lok Sabha,Others,147000000.0,128428300.19690135,60846673.77394311,41.39,44,22,Moderate Risk,0.0
42,Shri Sarbananda Sonowal (18Ls),Assam,DIBRUGARH,General,Lok Sabha,BJP,147000000.0,120775957.17144233,30188628.95960528,20.54,37,10,High Risk,0.0
43,Abhay Kumar Sinha,Bihar,AURANGABAD_BR,General,Lok Sabha,SHS,147000000.0,123842769.85394132,31518144.463038076,21.44,26,6,High Risk,0.0
44,Ajay Kumar Mandal,Bihar,BHAGALPUR,General,Lok Sabha,BJP,147000000.0,141574565.99657214,108863986.76062605,74.06,60,46,Clean / Exemplary,0.0
45,Alok Kumar Suman,Bihar,GOPALGANJ (SC),SC,Lok Sabha,INC,147000000.0,132551978.32024226,32634063.20716495,22.2,73,27,High Risk,0.0
46,Arun Bharti,Bihar,JAMUI(SC),SC,Lok Sabha,INC,194924621.11,190716064.2440759,62999031.91462957,32.32,56,13,High Risk,32.6
47,Ashok Kumar Yadav,Bihar,MADHUBANI,General,Lok Sabha,BJD,147000000.0,138237826.19137648,81006026.72331284,55.11,66,45,Moderate Risk,0.0
48,Chirag Paswan,Bihar,HAJIPUR(SC),SC,Lok Sabha,BJP,147000000.0,139801035.3168044,70918386.93325566,48.24,55,25,Moderate Risk,0.0
49,Devesh Chandra Thakur,Bihar,SITAMARHI,General,Lok Sabha,YSR Congress,163809205.11,133725940.49482158,51718637.684417434,31.57,71,13,High Risk,11.43
50,Dileshwar Kamait,Bihar,SUPAUL,General,Lok Sabha,DMK,150450930.89,142791157.2746369,50366174.56939194,33.48,43,11,High Risk,2.35
51,Dinesh Chandra Yadav,Bihar,MADHEPURA,General,Lok Sabha,YSR Congress,150070866.11,127176858.90806347,66397157.46277002,44.24,21,14,Moderate Risk,2.09
52,Dr Mohammad Jawed,Bihar,KISHANGANJ,General,Lok Sabha,INC,148669229.11,122932048.56831741,76272632.88083065,51.3,19,11,Moderate Risk,1.14
53,Giridhari Yadav,Bihar,BANKA,General,Lok Sabha,SHS,147000000.0,129277195.77078258,103721267.28794733,70.56,58,51,Clean / Exemplary,0.0
54,Giriraj Singh,Bihar,BEGUSARAI,General,Lok Sabha,JDU,147000000.0,117982256.55121565,50492883.99828797,34.35,20,8,High Risk,0.0
55,Jitan Ram Manjhi,Bihar,GAYA (SC),SC,Lok Sabha,BJP,147000000.0,121144666.441852,33208085.61222419,22.59,20,7,High Risk,0.0
56,Kaushalendra Kumar,Bihar,NALANDA,General,Lok Sabha,Independent,147000000.0,139639763.85324198,119081137.35307954,81.01,23,21,Clean / Exemplary,0.0
57,Lovely Anand,Bihar,SHEOHAR,General,Lok Sabha,BJP,147000000.0,136311049.33658293,49995460.13279096,34.01,60,17,High Risk,0.0
58,Manoj Kumar,Bihar,SASARAM(SC),SC,Lok Sabha,BJP,147000000.0,119278353.56902587,50581060.51278345,34.41,49,15,High Risk,0.0
59,Misha Bharti,Bihar,PATALIPUTRA,General,Lok Sabha,BJD,147000000.0,130646256.4475544,129203949.54443812,87.89,71,52,Clean / Exemplary,0.0
60,Mr Gopal Jee Thakur,Bihar,DARBHANGA,General,Lok Sabha,INC,147000000.0,143200151.43991542,34361018.79875121,23.37,65,21,High Risk,0.0
61,Nityanand Rai,Bihar,UJJARPUR,General,Lok Sabha,BJP,147000000.0,135941464.14549124,73002666.30045769,49.66,44,21,Moderate Risk,0.0
62,Pradeep Kumar Singh,Bihar,ARARIA,General,Lok Sabha,SHS,147000000.0,140591625.77750933,107117326.26912154,72.87,61,49,Clean / Exemplary,0.0
63,Radha Mohan Singh,Bihar,PURVI CHAMPARAN,General,Lok Sabha,BJP,147000000.0,124691322.85342652,84483412.52647167,57.47,78,38,Moderate Risk,0.0
64,Raj Bhushan Choudhary,Bihar,MUZAFFARPUR,General,Lok Sabha,TMC,147000000.0,136333723.41816345,33354071.308223244,22.69,57,8,High Risk,0.0
65,Raja Ram Singh,Bihar,KARAKAT,General,Lok Sabha,TMC,147000000.0,137598696.7087256,44852390.18407359,30.51,17,3,High Risk,0.0
66,Rajesh Ranjan Alias Pappu Yadav,Bihar,PURNEA,General,Lok Sabha,BJP,147000000.0,118215781.85430884,97345149.85726771,66.22,20,14,Clean / Exemplary,0.0
67,Rajesh Verma,Bihar,KHAGARIA,General,Lok Sabha,BSP,147000000.0,135965108.92431536,128992797.58555365,87.75,39,28,Clean / Exemplary,0.0
68,Rajiv Pratap Rudy,Bihar,SARAN,General,Lok Sabha,Independent,147000000.0,141082197.2346445,83968089.51133838,57.12,34,22,Moderate Risk,0.0
69,Rajiv Ranjan (Lalan) Singh,Bihar,MUNGER,General,Lok Sabha,DMK,147000000.0,139593351.47522825,130238946.89102575,88.6,67,62,Clean / Exemplary,0.0
70,Ramprit Mandal,Bihar,JHANJHARPUR,General,Lok Sabha,BSP,147000000.0,118638153.83524303,86429908.30418451,58.8,63,33,Moderate Risk,0.0
71,Ravi Shankar Prasad,Bihar,PATNA SAHIB,General,Lok Sabha,TMC,147000000.0,136484370.46161368,38968736.8378003,26.51,19,6,High Risk,0.0
72,Sanjay Jaiswal,Bihar,PASCHIM CHAMPARAN,General,Lok Sabha,Others,147000000.0,125141983.8358609,56170236.689995065,38.21,57,23,High Risk,0.0
73,Shambhavi,Bihar,SAMASTIPUR(SC),SC,Lok Sabha,BJP,147000000.0,143883297.4742314,43879216.23621724,29.85,57,24,High Risk,0.0
74,Shri Janardan Singh Sigriwal,Bihar,MAHARAJGANJ_BR,General,Lok Sabha,BJP,147000000.0,119921693.36841036,90442499.56404984,61.53,30,12,Moderate Risk,0.0
75,Smt Veena Devi,Bihar,VAISHALI,General,Lok Sabha,BSP,147000000.0,142109308.88096502,86376911.84333935,58.76,43,18,Moderate Risk,0.0
76,Sudama Prasad,Bihar,ARRAH,General,Lok Sabha,DMK,147000000.0,127809944.94749692,57208487.52025759,38.92,52,16,High Risk,0.0
77,Sudhakar Singh,Bihar,BUXAR,General,Lok Sabha,YSR Congress,185211956.54,169260664.24683058,101524770.51867197,54.82,55,25,Moderate Risk,25.99
78,Sunil Kumar,Bihar,VALMIKI NAGAR,General,Lok Sabha,TDP,147000000.0,146433736.7013528,80060291.89212163,54.46,41,23,Moderate Risk,0.0
79,Surendra Prasad Yadav,Bihar,JAHANABAD,General,Lok Sabha,DMK,155325714.0,153960312.2398368,98011701.16986875,63.1,28,12,Moderate Risk,5.66
80,Tariq Anwar,Bihar,KATIHAR,General,Lok Sabha,SHS,147000000.0,135639960.95858127,97163819.06244867,66.1,20,17,Clean / Exemplary,0.0
81,Vijaylakshmi Devi,Bihar,SIWAN,General,Lok Sabha,BSP,147000000.0,136537987.11139193,60069572.268998705,40.86,18,10,Moderate Risk,0.0
82,Vivek Thakur,Bihar,NAWADA,General,Lok Sabha,INC,147000000.0,132090218.78275494,31388813.221421145,21.35,41,11,High Risk,0.0
83,Manish Tewari,Chandigarh,CHANDIGARH,General,Lok Sabha,BJP,178351443.75,161221641.8297208,57217843.21820948,32.08,36,13,High Risk,21.33
84,Bhojraj Nag,Chhattisgarh,KANKER(ST),ST,Lok Sabha,BJP,164672734.11,148021695.9629747,101542414.39080589,61.66,18,9,Moderate Risk,12.02
85,Brijmohan Agrawal,Chhattisgarh,RAIPUR,General,Lok Sabha,DMK,153766451.11,152822403.07881466,107203804.44357184,69.72,49,46,Clean / Exemplary,4.6
86,Chintamani Maharaj,Chhattisgarh,SARGUJA(ST),ST,Lok Sabha,DMK,147000000.0,134091576.36314036,82924824.26442412,56.41,71,48,Moderate Risk,0.0
87,Jyotsna Charandas Mahant,Chhattisgarh,KORBA,General,Lok Sabha,BJP,155153738.11,124677632.04572469,64935446.44143801,41.85,79,40,Moderate Risk,5.55
88,Kamlesh Jangde,Chhattisgarh,JANJGIR CHAMPA(SC),SC,Lok Sabha,JDU,150384382.11,146529835.73131388,90394045.33051658,60.11,16,9,Moderate Risk,2.3
89,Mahesh Kashyap,Chhattisgarh,BASTAR(ST),ST,Lok Sabha,AAP,147000000.0,119722633.22398779,96318513.12509981,65.52,16,10,Clean / Exemplary,0.0
90,Radhe Shyam Rathiya,Chhattisgarh,RAIGARH(ST),ST,Lok Sabha,BJP,159706972.09,143360680.4007054,76938982.94255851,48.18,24,13,Moderate Risk,8.64
91,Roop Kumari Choudhary,Chhattisgarh,MAHASAMUND,General,Lok Sabha,SHS,153035414.0,134176338.14118311,53154475.38765745,34.73,52,22,High Risk,4.11
92,Santosh Pandey,Chhattisgarh,RAJNANDGAON,General,Lok Sabha,BJP,147000000.0,145403525.5218083,76559136.01329876,52.08,70,33,Moderate Risk,0.0
93,Tokhan Sahu,Chhattisgarh,BILASPUR,General,Lok Sabha,INC,147000000.0,131607247.39850748,71085067.26688658,48.36,29,13,Moderate Risk,0.0
94,Vijay Baghel,Chhattisgarh,DURG,General,Lok Sabha,AAP,147000000.0,132118132.7894337,128603669.05683213,87.49,40,28,Clean / Exemplary,0.0
95,Bansuri Swaraj,Delhi,NEW DELHI,General,Lok Sabha,TMC,154306950.0,140284052.5256269,70251011.95786138,45.53,76,52,Moderate Risk,4.97
96,Harsh Malhotra,Delhi,EAST DELHI,General,Lok Sabha,BJP,147134131.0,122600496.59233567,66689341.0626435,45.33,62,39,Moderate Risk,0.09
97,Kamaljeet Sehrawat,Delhi,WEST DELHI,General,Lok Sabha,AAP,147000000.0,137596138.68975285,102290550.30397709,69.59,55,40,Clean / Exemplary,0.0
98,Manoj Tiwari,Delhi,NORTH EAST DELHI,General,Lok Sabha,BJP,225843858.0,187375566.56266952,48156961.595640466,21.32,79,14,High Risk,53.64
99,Praveen Khandelwal,Delhi,CHANDINI CHOWK,General,Lok Sabha,INC,147470276.0,122293383.40467775,54554483.047021665,36.99,38,10,High Risk,0.32
100,Ramvir Singh Bidhuri,Delhi,SOUTH DELHI,General,Lok Sabha,INC,147559100.0,127695627.01367846,56218869.69019132,38.1,24,10,High Risk,0.38
101,Yogendra Chandoliya,Delhi,NORTH WEST DELHI(SC),SC,Lok Sabha,BJP,147876307.0,118802277.21922897,75197825.85231604,50.85,65,36,Moderate Risk,0.6
102,Captain Viriato Fernandes,Goa,SOUTH GOA,General,Lok Sabha,INC,147000000.0,141525573.5793843,101240840.37263177,68.87,59,42,Clean / Exemplary,0.0
103,Shripad Yesso Naik,Goa,NORTH GOA,General,Lok Sabha,BJP,147000000.0,128030275.97997794,106696221.11948623,72.58,76,67,Clean / Exemplary,0.0
104,Bharatbhai Manubhai Sutariya,Gujarat,AMRELI,General,Lok Sabha,INC,147000000.0,139675609.39307,125174928.80460681,85.15,64,60,Clean / Exemplary,0.0
105,Bharatsinhji Shankarji Dabhi,Gujarat,PATAN,General,Lok Sabha,TMC,147000000.0,141897849.5035676,40011446.10321747,27.22,35,12,High Risk,0.0
106,C R Patil,Gujarat,NAVSARI,General,Lok Sabha,BJP,158532494.36,156960216.13580927,104704879.19425263,66.05,72,50,Clean / Exemplary,7.85
107,Chandubhai Chhaganbhai Shihora,Gujarat,SURENDRANAGAR,General,Lok Sabha,BJP,147000000.0,119257439.60153727,77628526.14290243,52.81,71,44,Moderate Risk,0.0
108,Devusinh Jesingbhai Chauhan,Gujarat,KHEDA,General,Lok Sabha,INC,147000000.0,131844975.76461603,48387212.89177122,32.92,55,14,High Risk,0.0
109,Dhaval Laxmanbhai Patel,Gujarat,VALSAD(ST),ST,Lok Sabha,BJD,147000000.0,140801634.41505575,121035257.18813518,82.34,47,35,Clean / Exemplary,0.0
110,Dineshbhai Makwana,Gujarat,AHMEDABAD WEST(SC),SC,Lok Sabha,BJP,160434965.11,134334346.88686958,57940069.79771319,36.11,33,14,High Risk,9.14
111,Dr. Hemang Joshi,Gujarat,VADODARA,General,Lok Sabha,NCP,147000000.0,123527843.20940371,116024181.12842618,78.93,25,20,Clean / Exemplary,0.0
112,Dr. Mansukh Mandaviya,Gujarat,PORBANDAR,General,Lok Sabha,YSR Congress,147000000.0,127446225.07091834,41428808.38889066,28.18,24,9,High Risk,0.0
113,Geniben Nagaji Thakor,Gujarat,BANASKANTHA,General,Lok Sabha,BJP,147000000.0,120523576.94712475,47772245.725390926,32.5,30,8,High Risk,0.0
114,Haribhai Patel,Gujarat,MAHESANA,General,Lok Sabha,JDU,147000000.0,143292368.28033796,30531470.76895764,20.77,53,8,High Risk,0.0
115,Hasmukh Bhai Soma Bhai Patel,Gujarat,AHMEDABAD EAST,General,Lok Sabha,BJP,147000000.0,129045291.05283412,37919982.92949551,25.8,33,4,High Risk,0.0
116,Jashubhai Bhilubhai Rathva,Gujarat,CHHOTA UDAIPUR(ST),ST,Lok Sabha,RJD,147000000.0,146149112.40786183,101164545.49969983,68.82,76,54,Clean / Exemplary,0.0
117,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),ST,Lok Sabha,SHS,147000000.0,126981553.91335173,78196642.89405303,53.19,68,40,Moderate Risk,0.0
118,Mansukhbhai Dhanjibhai Vasava,Gujarat,BHARUCH,General,Lok Sabha,CPI(M),147000000.0,136390126.1717757,128710713.86326908,87.56,71,64,Clean / Exemplary,0.0
119,Mitesh Rameshbhai Bakabhai Patel,Gujarat,ANAND,General,Lok Sabha,SHS,147000000.0,145371658.05253628,47628713.33413601,32.4,59,24,High Risk,0.0
120,Mukeshkumar Chandrakaant Dalal,Gujarat,SURAT,General,Lok Sabha,AAP,147000000.0,129023608.17734817,67108891.93826684,45.65,44,17,Moderate Risk,0.0
121,Nimuben Jayantibhai Bambhaniya,Gujarat,BHAVNAGAR,General,Lok Sabha,NCP,147000000.0,143595670.02244318,127299403.91306502,86.6,29,21,Clean / Exemplary,0.0
122,Parshottambhai Rupala,Gujarat,RAJKOT,General,Lok Sabha,BJP,147000000.0,120118352.53813505,88916013.75995949,60.49,73,43,Moderate Risk,0.0
123,Prabhubhai Nagarbhai Vasava,Gujarat,BARDOLI(ST),ST,Lok Sabha,BJP,147000000.0,146779014.96345624,53544670.22292617,36.42,75,33,High Risk,0.0
124,Rajeshbhai Naranbhai Chudasama,Gujarat,JUNAGADH,General,Lok Sabha,YSR Congress,147000000.0,140374233.15075096,50565219.27992262,34.4,56,18,High Risk,0.0
125,Rajpalsinh Mahendrasinh Jadav,Gujarat,PANCHMAHAL,General,Lok Sabha,BJP,147000000.0,143675592.0661525,54167280.04756476,36.85,56,24,High Risk,0.0
126,Shobhanaben Mahendrasinh Baraiya,Gujarat,SABARKANTHA,General,Lok Sabha,SP,147000000.0,141883759.4536176,63892908.074462794,43.46,21,10,Moderate Risk,0.0
127,Shri Amit Shah,Gujarat,GANDHINAGAR,General,Lok Sabha,BJD,147000000.0,138008026.86118904,115531531.78749853,78.59,48,36,Clean / Exemplary,0.0
128,Smt Poonamben Hematbhai Maadam,Gujarat,JAMNAGAR,General,Lok Sabha,INC,147000000.0,126749794.35486378,64448168.741214916,43.84,59,29,Moderate Risk,0.0
129,Vinod Chavda,Gujarat,KACHCHH(SC),SC,Lok Sabha,TMC,147000000.0,130322236.59897931,66449192.941210665,45.2,44,24,Moderate Risk,0.0
130,Deepender Singh Hooda,Haryana,ROHTAK,General,Lok Sabha,BJP,147000000.0,120207854.49245745,46783417.99012573,31.83,22,6,High Risk,0.0
131,Jai Parkash,Haryana,HISAR,General,Lok Sabha,SHS,147000000.0,124940239.46046007,97188808.43453282,66.11,46,29,Clean / Exemplary,0.0
132,Krishan Pal Gurjar,Haryana,FARIDABAD,General,Lok Sabha,BJP,147000000.0,121280462.29075499,111363687.24144854,75.76,59,41,Clean / Exemplary,0.0
133,Manohar Lal,Haryana,KARNAL,General,Lok Sabha,NCP,147000000.0,134809418.31326452,78239517.11465585,53.22,71,45,Moderate Risk,0.0
134,Naveen Jindal,Haryana,KURUKSHETRA,General,Lok Sabha,AAP,147000000.0,122934287.42225145,41942079.004371904,28.53,49,13,High Risk,0.0
135,Rao Inderjit Singh,Haryana,GURGAON,General,Lok Sabha,YSR Congress,147000000.0,129110855.5264282,103701099.54106162,70.54,41,36,Clean / Exemplary,0.0
136,Satpal Brahamchari,Haryana,SONEPAT,General,Lok Sabha,BJP,147000000.0,143408204.29767,107269729.93536054,72.97,72,62,Clean / Exemplary,0.0
137,Selja,Haryana,SIRSA(SC),SC,Lok Sabha,BJP,147000000.0,132985891.1571254,109210459.46021618,74.29,33,30,Clean / Exemplary,0.0
138,Shri  Dharambir Singh,Haryana,BHIWANI MAHENDRAGARH,General,Lok Sabha,INC,147000000.0,142338558.06069195,96403086.48432428,65.58,45,37,Clean / Exemplary,0.0
139,Varun Chaudhry,Haryana,AMBALA (SC),SC,Lok Sabha,BJP,255454264.0,247418280.9460929,43523908.60012118,17.04,35,5,High Risk,73.78
140,Anurag Singh Thakur,Himachal Pradesh,HAMIRPUR_HP,General,Lok Sabha,SP,149570117.11,139089227.44580016,59065184.65345482,39.49,70,17,High Risk,1.75
141,Kangana Ranaut,Himachal Pradesh,MANDI,General,Lok Sabha,TMC,147000000.0,117787744.62847492,113568806.7818515,77.26,33,28,Clean / Exemplary,0.0
142,Rajeev Bhardwaj,Himachal Pradesh,KANGRA,General,Lok Sabha,INC,179388967.11,154150216.0157112,96322981.14156434,53.7,37,22,Moderate Risk,22.03
143,Suresh Kumar Kashyap,Himachal Pradesh,SHIMLA (SC),SC,Lok Sabha,INC,153563957.11,138527972.2577993,49905681.22408516,32.5,55,11,High Risk,4.47
144,Abdul Rashid Sheikh,Jammu And Kashmir,BARAMULLAH,General,Lok Sabha,TDP,154773472.11,142426109.18898797,56089567.050027244,36.24,61,18,High Risk,5.29
145,Aga Syed Ruhullah Mehdi,Jammu And Kashmir,SRINAGAR,General,Lok Sabha,SHS,147000000.0,128088547.80479153,69394893.1090477,47.21,33,20,Moderate Risk,0.0
146,Jitendra Singh,Jammu And Kashmir,UDHAMPUR,General,Lok Sabha,INC,147000000.0,136001206.46724808,84913653.98542221,57.76,72,37,Moderate Risk,0.0
147,Mian Altaf Ahmad,Jammu And Kashmir,ANANTNAG,General,Lok Sabha,TMC,147000000.0,137205809.17185548,76192731.14472409,51.83,24,10,Moderate Risk,0.0
148,Shri Jugal Kishore Sharma,Jammu And Kashmir,JAMMU,General,Lok Sabha,SHS,147000000.0,135209968.14040998,83056761.40258536,56.5,22,10,Moderate Risk,0.0
149,Annpurna Devi,Jharkhand,KODARMA,General,Lok Sabha,JDU,166665931.8,154436034.30007744,56206603.3598117,33.72,37,14,High Risk,13.38
150,Bidyut Baran Mahato,Jharkhand,JAMSHEDPUR,General,Lok Sabha,INC,147000000.0,144246818.92178524,109368417.64893323,74.4,22,19,Clean / Exemplary,0.0
151,Dulu Mahato,Jharkhand,DHANBAD,General,Lok Sabha,DMK,147000000.0,135437422.36365595,102174855.4708487,69.51,42,38,Clean / Exemplary,0.0
152,Joba Majhi,Jharkhand,SINGHBHUM(ST),ST,Lok Sabha,AITC,147000000.0,141084227.13174576,119406802.11920413,81.23,79,59,Clean / Exemplary,0.0
153,Kali Charan Munda,Jharkhand,KHUNTI(ST),ST,Lok Sabha,TDP,147000000.0,141399772.59691143,120852177.41851774,82.21,57,49,Clean / Exemplary,0.0
154,Kali Charan Singh,Jharkhand,CHATRA,General,Lok Sabha,INC,147000000.0,128557042.40016204,86083223.43568043,58.56,31,13,Moderate Risk,0.0
155,Manish Jaiswal,Jharkhand,HAZARIBAGH,General,Lok Sabha,BJP,147000000.0,146112738.72530922,62862057.6087211,42.76,44,24,Moderate Risk,0.0
156,Nalin Soren,Jharkhand,DUMKA(ST),ST,Lok Sabha,CPI(M),147364097.11,118428643.30481711,92131192.87268141,62.52,27,13,Moderate Risk,0.25
157,Nishikant Dubey,Jharkhand,GODDA,General,Lok Sabha,INC,147000000.0,142291922.3042816,51219414.026556514,34.84,73,20,High Risk,0.0
158,Sanjay Seth,Jharkhand,RANCHI,General,Lok Sabha,BJP,147064357.11,124278703.57785547,64679279.09971859,43.98,31,12,Moderate Risk,0.04
159,Shri Chandra Prakash Choudhary,Jharkhand,GIRIDIH,General,Lok Sabha,BJP,147000000.0,145906624.49797636,106982679.88010907,72.78,62,53,Clean / Exemplary,0.0
160,Sukhdeo Bhagat,Jharkhand,LOHARDAGA(ST),ST,Lok Sabha,NCP,171821957.11,141746956.99676943,111338508.58740292,64.8,66,42,Moderate Risk,16.89
