work_id,mp_id,mp_name,state,district,constituency,constituency_type,house,party,work_category,work_subcategory,estimated_cost_inr,sanctioned_cost_inr,actual_expenditure_inr,expected_completion_days,actual_completion_days,inspection_done,photo_available,photo_location_match,similar_work_count_500m,payment_count,is_anomalous,anomaly_type,cost_overrun_ratio,delay_days,cost_deviation_pct
W005701,3,Appalanaidu Kalisetti,Andhra Pradesh,Kadapa,VIZIANAGARAM,General,Lok Sabha,BJP,Community,Park Development,1894835.53,2002925.76,1876443.94,108,93,1,1,1,0,4,0,clean,-0.0631,0,-0.97
W006614,3,Appalanaidu Kalisetti,Andhra Pradesh,Vizianagaram,VIZIANAGARAM,General,Lok Sabha,BJP,Road,Bituminous Road Construction,2253497.39,2328095.02,2397286.23,113,462,1,1,1,0,7,1,delay_anomaly,0.0297,349,6.38
W006779,3,Appalanaidu Kalisetti,Andhra Pradesh,Nellore,VIZIANAGARAM,General,Lok Sabha,BJP,Sanitation,Open Drain to Closed Drain,2176644.65,2965103.31,4020384.33,110,207,0,0,1,0,9,1,cost_anomaly,0.3559,97,84.71
W008100,3,Appalanaidu Kalisetti,Andhra Pradesh,Krishna,VIZIANAGARAM,General,Lok Sabha,BJP,Sports,Stadium Development,6273067.41,6386467.89,8162518.46,60,89,0,0,0,1,1,1,ghost_asset,0.2781,29,30.12
W008744,3,Appalanaidu Kalisetti,Andhra Pradesh,Srikakulam,VIZIANAGARAM,General,Lok Sabha,BJP,Road,CC Road Construction,2736329.09,2901893.16,3016683.29,161,165,0,1,1,0,4,0,clean,0.0396,4,10.25
W009886,3,Appalanaidu Kalisetti,Andhra Pradesh,Srikakulam,VIZIANAGARAM,General,Lok Sabha,BJP,Sanitation,Open Drain to Closed Drain,1237028.72,1376091.07,1524688.55,37,78,1,1,0,0,3,1,delay_anomaly,0.108,41,23.25
W009949,3,Appalanaidu Kalisetti,Andhra Pradesh,Prakasam,VIZIANAGARAM,General,Lok Sabha,BJP,Sports,Indoor Stadium Construction,9896529.36,9763115.74,9421594.34,88,97,1,1,1,0,1,0,clean,-0.035,9,-4.8
W011046,3,Appalanaidu Kalisetti,Andhra Pradesh,Vizianagaram,VIZIANAGARAM,General,Lok Sabha,BJP,Sports,Gymnasium Construction,9592240.13,10377245.07,9724799.4,31,35,1,1,0,0,2,0,clean,-0.0629,4,1.38
W012720,3,Appalanaidu Kalisetti,Andhra Pradesh,West Godavari,VIZIANAGARAM,General,Lok Sabha,BJP,Water Supply,Pipeline Laying,226197.79,367579.86,407581.9,92,167,0,1,0,2,14,1,vendor_anomaly,0.1088,75,80.19
W012749,3,Appalanaidu Kalisetti,Andhra Pradesh,Nellore,VIZIANAGARAM,General,Lok Sabha,BJP,Road,Culvert Construction,4441520.21,4503354.24,6161363.82,110,106,1,1,1,0,19,1,payment_anomaly,0.3682,0,38.72
W013921,3,Appalanaidu Kalisetti,Andhra Pradesh,Chittoor,VIZIANAGARAM,General,Lok Sabha,BJP,Road,Bituminous Road Construction,2408645.53,2391743.34,2132887.03,127,108,1,1,1,1,4,0,clean,-0.1082,0,-11.45
W000661,4,B K Parthasarathi,Andhra Pradesh,Visakhapatnam,HINDUPUR,General,Lok Sabha,INC,Water Supply,Borewell Installation,1759564.71,2373992.7,3699010.78,119,221,0,0,0,2,10,1,cost_anomaly,0.5581,102,110.22
W001252,4,B K Parthasarathi,Andhra Pradesh,East Godavari,HINDUPUR,General,Lok Sabha,INC,Community,Bus Shelter Construction,2297066.32,4798796.01,5630218.08,92,126,1,1,1,1,10,1,cost_anomaly,0.1733,34,145.1
W001649,4,B K Parthasarathi,Andhra Pradesh,Visakhapatnam,HINDUPUR,General,Lok Sabha,INC,Sanitation,Community Toilet Block,1096615.11,1118647.56,1127041.02,91,88,1,1,0,5,2,1,duplicate_work,0.0075,0,2.77
W002088,4,B K Parthasarathi,Andhra Pradesh,Kadapa,HINDUPUR,General,Lok Sabha,INC,Sports,Gymnasium Construction,3734672.58,4268124.06,4215992.16,106,504,0,1,1,1,8,1,delay_anomaly,-0.0122,398,12.89
W003320,4,B K Parthasarathi,Andhra Pradesh,Nellore,HINDUPUR,General,Lok Sabha,INC,Road,Footpath Construction,2970437.08,3231785.6,2973422.11,56,53,0,1,1,0,3,0,clean,-0.0799,0,0.1
W005928,4,B K Parthasarathi,Andhra Pradesh,Kadapa,HINDUPUR,General,Lok Sabha,INC,Healthcare,Medical Equipment Purchase,2685426.68,2750551.41,2687308.08,108,86,1,1,0,1,3,0,clean,-0.023,0,0.07
W006235,4,B K Parthasarathi,Andhra Pradesh,Chittoor,HINDUPUR,General,Lok Sabha,INC,Water Supply,Borewell Installation,2219075.17,2402196.05,2508351.94,155,179,1,1,1,0,2,0,clean,0.0442,24,13.04
W007524,4,B K Parthasarathi,Andhra Pradesh,Kurnool,HINDUPUR,General,Lok Sabha,INC,Education,Computer Lab Setup,3355345.57,3387016.61,3843784.63,48,209,0,1,1,0,8,1,delay_anomaly,0.1349,161,14.56
W007659,4,B K Parthasarathi,Andhra Pradesh,West Godavari,HINDUPUR,General,Lok Sabha,INC,Healthcare,Community Health Centre Upgrade,1363936.04,1528709.19,1439252.74,34,195,1,0,0,0,6,1,delay_anomaly,-0.0585,161,5.52
W008495,4,B K Parthasarathi,Andhra Pradesh,Kadapa,HINDUPUR,General,Lok Sabha,INC,Road,CC Road Construction,1995057.89,2466591.74,4119678.62,37,51,1,1,1,0,15,1,payment_anomaly,0.6702,14,106.49
W008540,4,B K Parthasarathi,Andhra Pradesh,Kurnool,HINDUPUR,General,Lok Sabha,INC,Community,Playground Construction,2479824.29,2562175.56,2668223.24,61,166,0,1,0,1,9,1,delay_anomaly,0.0414,105,7.6
W009194,4,B K Parthasarathi,Andhra Pradesh,Vizianagaram,HINDUPUR,General,Lok Sabha,INC,Road,CC Road Construction,1795368.06,1881033.09,1653797.44,118,128,1,1,1,0,3,0,clean,-0.1208,10,-7.89
W009736,4,B K Parthasarathi,Andhra Pradesh,Guntur,HINDUPUR,General,Lok Sabha,INC,Electricity,Electrical Line Extension,1007582.58,966483.17,834116.07,90,76,1,0,1,0,2,0,clean,-0.137,0,-17.22
W011973,4,B K Parthasarathi,Andhra Pradesh,Visakhapatnam,HINDUPUR,General,Lok Sabha,INC,Road,Culvert Construction,3138348.42,3481351.05,3779683.44,33,189,1,0,1,0,9,1,delay_anomaly,0.0857,156,20.44
W012269,4,B K Parthasarathi,Andhra Pradesh,Guntur,HINDUPUR,General,Lok Sabha,INC,Water Supply,Pipeline Laying,2793566.4,3063951.27,3178402.89,149,165,1,1,1,1,4,0,clean,0.0374,16,13.78
W013076,4,B K Parthasarathi,Andhra Pradesh,Vizianagaram,HINDUPUR,General,Lok Sabha,INC,Sanitation,Community Toilet Block,828361.41,1158996.5,1539557.87,65,72,1,1,1,0,9,1,cost_anomaly,0.3284,7,85.86
W013406,4,B K Parthasarathi,Andhra Pradesh,East Godavari,HINDUPUR,General,Lok Sabha,INC,Education,Toilet Block Construction,1706305.33,1908791.82,1813831.01,69,168,1,1,1,0,3,1,delay_anomaly,-0.0497,99,6.3
W000493,5,Balashowry Vallabbhaneni,Andhra Pradesh,Prakasam,MACHILIPATNAM,General,Lok Sabha,BJP,Road,Road Repair & Resurfacing,4174066.33,4147594.84,4766861.53,89,256,0,1,0,1,3,1,delay_anomaly,0.1493,167,14.2
W001519,5,Balashowry Vallabbhaneni,Andhra Pradesh,Kurnool,MACHILIPATNAM,General,Lok Sabha,BJP,Community,Bus Shelter Construction,3391046.75,3297193.98,3927268.29,37,177,0,1,1,1,5,1,delay_anomaly,0.1911,140,15.81
W001984,5,Balashowry Vallabbhaneni,Andhra Pradesh,Srikakulam,MACHILIPATNAM,General,Lok Sabha,BJP,Education,Library Construction,2666233.05,4942784.69,6904054.32,124,151,1,1,1,0,9,1,cost_anomaly,0.3968,27,158.94
W002611,5,Balashowry Vallabbhaneni,Andhra Pradesh,Chittoor,MACHILIPATNAM,General,Lok Sabha,BJP,Sanitation,Solid Waste Management,1606389.06,1628159.04,1632404.6,60,56,1,1,1,0,4,0,clean,0.0026,0,1.62
W002696,5,Balashowry Vallabbhaneni,Andhra Pradesh,Krishna,MACHILIPATNAM,General,Lok Sabha,BJP,Road,Culvert Construction,1370358.92,1572819.21,1480448.93,49,68,1,1,1,3,2,1,duplicate_work,-0.0587,19,8.03
W003099,5,Balashowry Vallabbhaneni,Andhra Pradesh,Guntur,MACHILIPATNAM,General,Lok Sabha,BJP,Electricity,LED Street Light Replacement,1820742.59,1877407.2,1626534.66,33,38,1,1,1,1,3,0,clean,-0.1336,5,-10.67
W003702,5,Balashowry Vallabbhaneni,Andhra Pradesh,East Godavari,MACHILIPATNAM,General,Lok Sabha,BJP,Community,Playground Construction,1221800.32,1627742.66,1401885.17,45,34,1,0,0,1,4,1,ghost_asset,-0.1388,0,14.74
W004929,5,Balashowry Vallabbhaneni,Andhra Pradesh,Krishna,MACHILIPATNAM,General,Lok Sabha,BJP,Sports,Indoor Stadium Construction,1641469.87,1662598.45,1672200.05,92,260,0,0,1,1,7,1,delay_anomaly,0.0058,168,1.87
W006144,5,Balashowry Vallabbhaneni,Andhra Pradesh,Kadapa,MACHILIPATNAM,General,Lok Sabha,BJP,Sanitation,Solid Waste Management,1195183.23,1283228.81,1297249.09,116,658,1,1,1,0,6,1,delay_anomaly,0.0109,542,8.54
W006765,5,Balashowry Vallabbhaneni,Andhra Pradesh,Krishna,MACHILIPATNAM,General,Lok Sabha,BJP,Road,CC Road Construction,2484407.41,2366254.96,2477413.35,168,176,1,1,1,0,4,0,clean,0.047,8,-0.28
W006772,5,Balashowry Vallabbhaneni,Andhra Pradesh,Guntur,MACHILIPATNAM,General,Lok Sabha,BJP,Sports,Stadium Development,3151819.24,3387485.51,3128702.56,122,151,1,1,1,0,1,0,clean,-0.0764,29,-0.73
W007040,5,Balashowry Vallabbhaneni,Andhra Pradesh,Krishna,MACHILIPATNAM,General,Lok Sabha,BJP,Water Supply,Borewell Installation,1114031.47,1086945.12,1009866.61,32,41,0,1,1,0,4,0,clean,-0.0709,9,-9.35
W008032,5,Balashowry Vallabbhaneni,Andhra Pradesh,Vizianagaram,MACHILIPATNAM,General,Lok Sabha,BJP,Sanitation,Sewage Treatment,451598.69,724388.61,762023.73,75,149,0,0,0,2,8,1,vendor_anomaly,0.052,74,68.74
W008177,5,Balashowry Vallabbhaneni,Andhra Pradesh,Prakasam,MACHILIPATNAM,General,Lok Sabha,BJP,Sanitation,Community Toilet Block,1046379.09,1175586.13,1180846.39,49,92,1,1,1,1,7,1,vendor_anomaly,0.0045,43,12.85
W009406,5,Balashowry Vallabbhaneni,Andhra Pradesh,Nellore,MACHILIPATNAM,General,Lok Sabha,BJP,Community,Playground Construction,4934095.81,5288013.75,4545127.23,39,47,1,1,1,0,2,0,clean,-0.1405,8,-7.88
W010148,5,Balashowry Vallabbhaneni,Andhra Pradesh,Guntur,MACHILIPATNAM,General,Lok Sabha,BJP,Community,Community Hall Construction,4228088.11,4562157.67,4553771.86,63,353,1,1,0,0,6,1,delay_anomaly,-0.0018,290,7.7
W010230,5,Balashowry Vallabbhaneni,Andhra Pradesh,Nellore,MACHILIPATNAM,General,Lok Sabha,BJP,Water Supply,Hand Pump Installation,1289402.17,1678530.7,1502378.36,31,44,0,0,0,0,1,1,ghost_asset,-0.1049,13,16.52
W011647,5,Balashowry Vallabbhaneni,Andhra Pradesh,Kadapa,MACHILIPATNAM,General,Lok Sabha,BJP,Water Supply,Borewell Installation,2295595.01,2231217.34,2295611.63,90,109,0,1,1,0,3,0,clean,0.0289,19,0.0
