mp_id,mp_name,state,constituency,party,house,annual_allocation,total_works,anomalous_works,total_expenditure,avg_work_risk,flagged_works_count,fraud_rate,utilization_pct,underutilization_risk,mp_risk_score,risk_tier
MP0222,MP Representative 222,Manipur,Constituency 222,SP,Lok Sabha,147000000,28,22,32891032.240000002,48.839285714285715,22,78.57142857142857,22.37485186394558,86.43772220408164,68.65,High Risk
MP0006,MP Representative 006,Haryana,Constituency 006,SP,Lok Sabha,147000000,28,23,36796204.23,48.167500000000004,20,82.14285714285714,25.03143144897959,82.45285282653062,68.63,High Risk
MP0307,MP Representative 307,Manipur,Constituency 307,JD(U),Lok Sabha,147000000,28,23,38325717.35,48.799285714285716,22,82.14285714285714,26.07191656462585,80.89212515306122,68.49,High Risk
MP0158,MP Representative 158,Sikkim,Constituency 158,AAP,Lok Sabha,147000000,28,23,39608227.76,49.462857142857146,22,82.14285714285714,26.944372625850338,79.5834410612245,68.43,High Risk
MP0381,MP Representative 381,Haryana,Constituency 381,YSRCP,Lok Sabha,147000000,27,26,69037990.6,55.57666666666666,25,96.29629629629629,46.964619455782305,49.55307081632654,68.32,High Risk
MP0362,MP Representative 362,Manipur,Constituency 362,AAP,Lok Sabha,147000000,28,25,54155980.56,52.158928571428575,24,89.28571428571429,36.84080310204082,64.73879534693876,68.3,High Risk
MP0045,MP Representative 045,Andhra Pradesh,Constituency 045,YSRCP,Rajya Sabha,147000000,28,22,36195591.79,50.06,21,78.57142857142857,24.62285155782313,83.06572266326532,68.29,High Risk
MP0016,MP Representative 016,Haryana,Constituency 016,BJD,Lok Sabha,147000000,28,22,33788094.21,48.392857142857146,20,78.57142857142857,22.985098102040816,85.52235284693877,68.24,High Risk
MP0138,MP Representative 138,Sikkim,Constituency 138,SP,Lok Sabha,147000000,28,24,45915728.0,49.83571428571429,21,85.71428571428571,31.235189115646257,73.14721632653061,68.22,High Risk
MP0048,MP Representative 048,Sikkim,Constituency 048,BJP,Lok Sabha,147000000,28,22,34198817.86,48.50178571428571,22,78.57142857142857,23.264501945578232,85.10324708163265,68.18,High Risk
MP0008,MP Representative 008,Sikkim,Constituency 008,RJD,Lok Sabha,147000000,28,23,38971403.81,48.43928571428571,23,82.14285714285714,26.511159054421768,80.23326141836735,68.18,High Risk
MP0396,MP Representative 396,Haryana,Constituency 396,BJP,Lok Sabha,122500000,27,23,38207675.85,50.04518518518518,21,85.18518518518519,31.189939469387756,73.21509079591837,68.14,High Risk
MP0253,MP Representative 253,Sikkim,Constituency 253,INC,Lok Sabha,147000000,28,24,46194600.43,49.80892857142857,23,85.71428571428571,31.42489825170068,72.86265262244898,68.14,High Risk
MP0004,MP Representative 004,Andaman and Nicobar Islands,Constituency 004,BJD,Lok Sabha,147000000,28,24,45395313.62,49.19571428571429,24,85.71428571428571,30.88116572789115,73.67825140816328,68.1,High Risk
MP0469,MP Representative 469,Andaman and Nicobar Islands,Constituency 469,INC,Lok Sabha,147000000,27,21,33008122.46,48.188518518518514,20,77.77777777777779,22.45450507482993,86.3182423877551,68.08,High Risk
MP0328,MP Representative 328,Sikkim,Constituency 328,BJD,Lok Sabha,147000000,28,25,55742810.73,52.63392857142857,25,89.28571428571429,37.92027940816327,63.1195808877551,68.08,High Risk
MP0065,MP Representative 065,Andhra Pradesh,Constituency 065,DMK,Rajya Sabha,147000000,28,24,48092384.980000004,50.78678571428571,23,85.71428571428571,32.71590814965987,70.9261377755102,68.05,High Risk
MP0233,MP Representative 233,Sikkim,Constituency 233,DMK,Lok Sabha,147000000,28,22,33334711.28,47.339285714285715,21,78.57142857142857,22.676674340136056,85.98498848979591,67.93,High Risk
MP0140,MP Representative 140,Andhra Pradesh,Constituency 140,RJD,Rajya Sabha,147000000,28,23,43217121.48,50.39035714285715,23,82.14285714285714,29.399402367346937,75.9008964489796,67.88,High Risk
MP0406,MP Representative 406,Haryana,Constituency 406,TDP,Lok Sabha,147000000,27,23,45219072.67,48.940370370370374,22,85.18518518518519,30.76127392517007,73.8580891122449,67.86,High Risk
MP0252,MP Representative 252,Manipur,Constituency 252,BJP,Lok Sabha,165000000,28,25,64346266.14,52.917857142857144,24,89.28571428571429,38.99773705454545,61.50339441818182,67.79,High Risk
MP0066,MP Representative 066,Haryana,Constituency 066,SP,Lok Sabha,147000000,28,23,41639572.269999996,49.11714285714286,23,82.14285714285714,28.326239639455782,77.51064054081633,67.77,High Risk
MP0493,MP Representative 493,Sikkim,Constituency 493,INC,Lok Sabha,147000000,27,22,38492792.019999996,47.614814814814814,22,81.48148148148148,26.185572802721087,80.72164079591838,67.74,High Risk
MP0461,MP Representative 461,Haryana,Constituency 461,DMK,Lok Sabha,147000000,27,23,49167092.34,51.17259259259259,23,85.18518518518519,33.44700159183674,69.8294976122449,67.74,High Risk
MP0104,MP Representative 104,Andaman and Nicobar Islands,Constituency 104,RJD,Lok Sabha,147000000,28,25,59448135.49,54.08107142857143,25,89.28571428571429,40.440908496598645,59.33863725510203,67.72,High Risk
MP0224,MP Representative 224,Andaman and Nicobar Islands,Constituency 224,RJD,Lok Sabha,147000000,28,24,48869547.9,50.45178571428572,23,85.71428571428571,33.24459040816327,70.1331143877551,67.71,High Risk
MP0017,MP Representative 017,Manipur,Constituency 017,DMK,Lok Sabha,147000000,28,24,48524696.38,50.18571428571429,23,85.71428571428571,33.00999753741497,70.48500369387754,67.7,High Risk
MP0235,MP Representative 235,Andhra Pradesh,Constituency 235,JD(U),Rajya Sabha,147000000,28,23,44912859.39,50.9975,22,82.14285714285714,30.55296557142857,74.17055164285713,67.69,High Risk
MP0414,MP Representative 414,Andaman and Nicobar Islands,Constituency 414,SP,Lok Sabha,147000000,27,21,36113781.22,48.86222222222222,20,77.77777777777779,24.567198108843534,83.1492028367347,67.55,High Risk
MP0298,MP Representative 298,Sikkim,Constituency 298,TDP,Lok Sabha,147000000,28,26,65990109.13,54.44571428571429,24,92.85714285714286,44.891230700680275,52.663153948979584,67.44,High Risk
MP0283,MP Representative 283,Sikkim,Constituency 283,JD(U),Lok Sabha,147000000,28,23,45523457.08,50.72071428571429,23,82.14285714285714,30.968338149659864,73.54749277551021,67.43,High Risk
MP0360,MP Representative 360,Andhra Pradesh,Constituency 360,BJP,Rajya Sabha,122500000,28,25,46297546.4,50.83,21,89.28571428571429,37.79391542857143,63.30912685714286,67.41,High Risk
MP0442,MP Representative 442,Manipur,Constituency 442,TDP,Lok Sabha,147000000,27,21,36655823.01,48.85407407407407,21,77.77777777777779,24.935934020408162,82.59609896938775,67.41,High Risk
MP0497,MP Representative 497,Manipur,Constituency 497,DMK,Lok Sabha,147000000,27,21,36175068.88,48.41703703703703,20,77.77777777777779,24.608890394557825,83.08666440816326,67.36,High Risk
MP0351,MP Representative 351,Haryana,Constituency 351,TMC,Lok Sabha,245000000,28,23,75080122.63,49.94,23,82.14285714285714,30.644948012244893,74.03257798163266,67.23,High Risk
MP0520,MP Representative 520,Andhra Pradesh,Constituency 520,BJD,Rajya Sabha,147000000,27,24,59668137.76,53.23222222222222,23,88.88888888888889,40.5905699047619,59.114145142857154,67.18,High Risk
MP0491,MP Representative 491,Haryana,Constituency 491,Other,Lok Sabha,147000000,27,24,60093240.33,53.419629629629625,24,88.88888888888889,40.879755326530606,58.680367010204094,67.15,High Risk
MP0257,MP Representative 257,Manipur,Constituency 257,DMK,Lok Sabha,147000000,28,24,53861679.9,52.23464285714285,22,85.71428571428571,36.640598571428576,65.03910214285713,67.15,High Risk
MP0169,MP Representative 169,Andaman and Nicobar Islands,Constituency 169,INC,Lok Sabha,147000000,28,26,68020266.23,54.48142857142857,25,92.85714285714286,46.27228995238096,50.59156507142856,66.94,High Risk
MP0226,MP Representative 226,Haryana,Constituency 226,TDP,Lok Sabha,147000000,28,22,36609216.54,46.87071428571429,22,78.57142857142857,24.90422893877551,82.64365659183673,66.91,High Risk
MP0454,MP Representative 454,Andaman and Nicobar Islands,Constituency 454,TDP,Lok Sabha,147000000,27,20,28620559.46,45.724074074074075,20,74.07407407407408,19.469768340136053,90.79534748979592,66.91,High Risk
MP0426,MP Representative 426,Haryana,Constituency 426,SP,Lok Sabha,147000000,27,23,51763030.5,50.73703703703704,23,85.18518518518519,35.212945918367346,67.18058112244898,66.9,High Risk
MP0321,MP Representative 321,Haryana,Constituency 321,YSRCP,Lok Sabha,147000000,28,22,36335005.46,46.611071428571435,21,78.57142857142857,24.717690789115647,82.92346381632652,66.88,High Risk
MP0242,MP Representative 242,Manipur,Constituency 242,AAP,Lok Sabha,147000000,28,23,43545429.7,47.84607142857143,18,82.14285714285714,29.622741292517006,75.56588806122448,66.78,High Risk
MP0092,MP Representative 092,Manipur,Constituency 092,RJD,Lok Sabha,147000000,28,24,52410372.69,50.324285714285715,23,85.71428571428571,35.65331475510204,66.52002786734694,66.76,High Risk
MP0134,MP Representative 134,Andaman and Nicobar Islands,Constituency 134,AAP,Lok Sabha,147000000,28,25,63265655.69,54.06535714285714,25,89.28571428571429,43.037861013605436,55.443208479591846,66.74,High Risk
MP0295,MP Representative 295,Andhra Pradesh,Constituency 295,JD(U),Rajya Sabha,147000000,28,22,39945795.58,48.464999999999996,21,78.57142857142857,27.174010598639452,79.23898410204082,66.7,High Risk
MP0421,MP Representative 421,Haryana,Constituency 421,INC,Lok Sabha,147000000,27,23,55347751.99,51.815925925925924,23,85.18518518518519,37.65153196598639,63.52270205102041,66.42,High Risk
MP0151,MP Representative 151,Haryana,Constituency 151,JD(U),Lok Sabha,147000000,28,22,41989175.26,48.98392857142857,20,78.57142857142857,28.56406480272109,77.15390279591836,66.38,High Risk
MP0099,MP Representative 099,Andaman and Nicobar Islands,Constituency 099,TMC,Lok Sabha,122500000,28,22,33907644.03,48.10964285714285,19,78.57142857142857,27.6797094122449,78.48043588163264,66.36,High Risk
MP0528,MP Representative 528,Sikkim,Constituency 528,BJP,Lok Sabha,147000000,27,22,44593737.34,47.925925925925924,21,81.48148148148148,30.335875741496597,74.4961863877551,66.31,High Risk
MP0408,MP Representative 408,Sikkim,Constituency 408,BJP,Lok Sabha,147000000,27,21,36481882.66,45.948888888888895,21,77.77777777777779,24.817607251700675,82.77358912244898,66.3,High Risk
MP0101,MP Representative 101,Haryana,Constituency 101,DMK,Lok Sabha,147000000,28,21,32395446.97,45.7875,20,75.0,22.037719027210883,86.94342145918367,66.3,High Risk
MP0024,MP Representative 024,Andaman and Nicobar Islands,Constituency 024,BJP,Lok Sabha,147000000,28,23,48324098.89,49.644285714285715,22,82.14285714285714,32.873536659863944,70.68969501020408,66.28,High Risk
MP0208,MP Representative 208,Sikkim,Constituency 208,BJD,Lok Sabha,147000000,28,25,60143619.4,50.62785714285714,24,89.28571428571429,40.91402680272109,58.62895979591836,66.16,High Risk
MP0330,MP Representative 330,Andhra Pradesh,Constituency 330,SP,Rajya Sabha,147000000,28,24,55252552.57,50.39964285714286,24,85.71428571428571,37.586770455782315,63.61984431632653,66.06,High Risk
MP0012,MP Representative 012,Manipur,Constituency 012,BJP,Lok Sabha,147000000,28,22,43351776.25,48.980000000000004,21,78.57142857142857,29.49100425170068,75.76349362244898,66.03,High Risk
MP0054,MP Representative 054,Andaman and Nicobar Islands,Constituency 054,SP,Lok Sabha,147000000,28,23,49444696.85,49.61642857142857,22,82.14285714285714,33.63584819727891,69.54622770408163,65.98,High Risk
MP0211,MP Representative 211,Haryana,Constituency 211,JD(U),Lok Sabha,147000000,28,23,47015637.84,48.0075,22,82.14285714285714,31.983427102040817,72.02485934693877,65.96,High Risk
MP0179,MP Representative 179,Andaman and Nicobar Islands,Constituency 179,Other,Lok Sabha,147000000,28,21,33556388.75,45.46107142857143,19,75.0,22.827475340136054,85.75878698979592,65.87,High Risk
MP0130,MP Representative 130,Andhra Pradesh,Constituency 130,TDP,Rajya Sabha,147000000,28,23,50575341.44,50.018214285714286,22,82.14285714285714,34.404994176870744,68.39250873469388,65.86,High Risk
MP0388,MP Representative 388,Sikkim,Constituency 388,BJD,Lok Sabha,147000000,27,24,64886738.19,53.23777777777778,23,88.88888888888889,44.14063822448979,53.78904266326531,65.85,High Risk
MP0113,MP Representative 113,Sikkim,Constituency 113,DMK,Lok Sabha,147000000,28,22,40359367.45,46.61892857142857,21,78.57142857142857,27.455352006802723,78.81697198979592,65.85,High Risk
MP0115,MP Representative 115,Andhra Pradesh,Constituency 115,JD(U),Rajya Sabha,147000000,28,24,56710077.99,50.555,22,85.71428571428571,38.57828434693878,62.13257347959183,65.76,High Risk
MP0020,MP Representative 020,Andhra Pradesh,Constituency 020,RJD,Rajya Sabha,147000000,28,21,32967228.24,44.745,19,75.0,22.42668587755102,86.35997118367347,65.74,High Risk
MP0428,MP Representative 428,Sikkim,Constituency 428,RJD,Lok Sabha,147000000,27,21,39443499.410000004,46.37074074074074,21,77.77777777777779,26.832312523809527,79.7515312142857,65.71,High Risk
MP0322,MP Representative 322,Manipur,Constituency 322,TDP,Lok Sabha,147000000,28,22,41216563.12,46.75142857142857,19,78.57142857142857,28.038478312925168,77.94228253061226,65.69,High Risk
MP0378,MP Representative 378,Sikkim,Constituency 378,SP,Lok Sabha,165000000,27,21,43301346.1,45.49555555555556,21,77.77777777777779,26.24324006060606,80.63513990909092,65.58,High Risk
MP0400,MP Representative 400,Andhra Pradesh,Constituency 400,BJD,Rajya Sabha,147000000,27,22,47180307.48,47.73518518518518,21,81.48148148148148,32.09544726530612,71.85682910204082,65.58,High Risk
MP0443,MP Representative 443,Sikkim,Constituency 443,Other,Lok Sabha,147000000,27,23,57407074.4,51.00814814814815,21,85.18518518518519,39.05243156462585,61.42135265306123,65.57,High Risk
MP0061,MP Representative 061,Haryana,Constituency 061,INC,Lok Sabha,147000000,28,23,48412513.79,47.84928571428571,22,82.14285714285714,32.93368285034013,70.59947572448979,65.54,High Risk
MP0057,MP Representative 057,Manipur,Constituency 057,YSRCP,Lok Sabha,147000000,28,22,41693538.51,46.66714285714285,21,78.57142857142857,28.362951367346938,77.4555729489796,65.53,High Risk
MP0470,MP Representative 470,Andhra Pradesh,Constituency 470,AAP,Rajya Sabha,147000000,27,21,38144861.39,45.020370370370365,19,77.77777777777779,25.94888529931973,81.07667205102041,65.5,High Risk
MP0005,MP Representative 005,Andhra Pradesh,Constituency 005,DMK,Rajya Sabha,147000000,28,22,42524558.1,47.1075,19,78.57142857142857,28.928270816326528,76.6075937755102,65.49,High Risk
MP0320,MP Representative 320,Andhra Pradesh,Constituency 320,RJD,Rajya Sabha,147000000,28,24,57729984.339999996,50.267857142857146,24,85.71428571428571,39.27209819047619,61.09185271428571,65.38,High Risk
MP0083,MP Representative 083,Sikkim,Constituency 083,Other,Lok Sabha,147000000,28,23,50901219.77,48.84321428571429,22,82.14285714285714,34.626680115646266,68.0599798265306,65.3,High Risk
MP0272,MP Representative 272,Manipur,Constituency 272,RJD,Lok Sabha,147000000,28,25,66430951.97,52.409285714285716,23,89.28571428571429,45.19112378911564,52.21331431632653,65.27,High Risk
MP0146,MP Representative 146,Haryana,Constituency 146,AAP,Lok Sabha,147000000,28,22,42002469.72,46.205714285714286,22,78.57142857142857,28.573108653061226,77.14033702040817,65.27,High Risk
MP0340,MP Representative 340,Andhra Pradesh,Constituency 340,BJD,Rajya Sabha,147000000,28,21,37116964.53,46.05535714285714,21,75.0,25.249635734693875,82.12554639795918,65.2,High Risk
MP0260,MP Representative 260,Andhra Pradesh,Constituency 260,RJD,Rajya Sabha,147000000,28,22,43089960.21,46.705714285714286,20,78.57142857142857,29.31289810204082,76.03065284693878,65.19,High Risk
MP0161,MP Representative 161,Haryana,Constituency 161,DMK,Lok Sabha,147000000,28,22,45241850.65,47.96321428571429,22,78.57142857142857,30.77676914965986,73.83484627551022,65.14,High Risk
MP0427,MP Representative 427,Manipur,Constituency 427,JD(U),Lok Sabha,147000000,27,23,59982075.38,51.51,22,85.18518518518519,40.80413291156463,58.79380063265306,65.12,High Risk
MP0241,MP Representative 241,Haryana,Constituency 241,INC,Lok Sabha,147000000,28,23,51958986.8,49.00678571428572,21,82.14285714285714,35.34624952380952,66.98062571428572,65.1,High Risk
MP0370,MP Representative 370,Andhra Pradesh,Constituency 370,TDP,Rajya Sabha,147000000,27,23,56122647.9,48.97555555555555,21,85.18518518518519,38.17867204081632,62.731991938775515,65.09,High Risk
