work_id,mp_id,state,district,constituency,work_category,work_subcategory,work_description,estimated_cost_inr,sanctioned_cost_inr,actual_expenditure_inr,recommendation_date,sanction_date,work_order_date,expected_completion_days,actual_completion_days,status,implementing_agency_id,contractor_id,latitude,longitude,inspection_done,photo_available,photo_location_match,similar_work_count_500m,payment_count,fraud_label,anomaly_type
MPLADS-W000011,MP0001,Haryana,District 001,Constituency 001,Road,Bridge Approach,Bridge Approach for public use in Constituency 001,2040249.05,2053519.71,2084210.05,2025-01-29,2025-02-19,2025-03-08,254,253,Completed,AG0074,V00140,22.542855,83.167271,1,1,1,0,3,0,none
MPLADS-W000012,MP0001,Haryana,District 001,Constituency 001,Electricity,Electrification,Electrification for public use in Constituency 001,4041020.85,4149908.32,3413616.59,2025-04-25,2025-06-08,2025-07-01,197,407,In Progress,AG0119,V00132,22.491201,83.240765,0,1,1,0,4,1,delay_anomaly
MPLADS-W000013,MP0001,Haryana,District 001,Constituency 001,Road,Road Construction,Road Construction for public use in Constituency 001,2469671.61,2510190.89,2378053.58,2025-07-31,2025-09-04,2025-09-25,95,80,Completed,AG0074,V00140,22.377823,83.226601,1,1,1,0,4,0,none
MPLADS-W000014,MP0001,Haryana,District 001,Constituency 001,Water,Water Tank,Water Tank for public use in Constituency 001,2100925.22,2084992.15,2049259.62,2024-06-25,2024-07-22,2024-08-30,131,107,Completed,AG0019,V00140,22.501039,83.326424,1,1,1,0,3,0,none
MPLADS-W000015,MP0001,Haryana,District 001,Constituency 001,Health,Primary Health Centre,Primary Health Centre for public use in Constituency 001,3789158.89,3863187.43,3843540.56,2025-01-29,2025-03-05,2025-03-23,268,281,In Progress,AG0119,V00132,22.349999,83.216332,1,1,1,0,2,0,none
MPLADS-W000016,MP0001,Haryana,District 001,Constituency 001,Electricity,Transformer Setup,Transformer Setup for public use in Constituency 001,2765508.14,2673226.74,2614738.45,2025-03-05,2025-04-17,2025-05-04,219,189,Completed,AG0019,V00140,22.409648,83.336898,1,1,1,0,3,0,none
MPLADS-W000017,MP0001,Haryana,District 001,Constituency 001,Education,School Library,School Library for public use in Constituency 001,4249286.62,4268325.14,4078365.48,2024-06-30,2024-08-22,2024-09-26,159,163,Completed,AG0119,V00383,22.291767,83.373658,1,1,1,0,3,0,none
MPLADS-W000018,MP0001,Haryana,District 001,Constituency 001,Electricity,Street Lighting,Street Lighting for public use in Constituency 001,4074903.72,5557539.41,7550602.74,2025-05-31,2025-06-25,2025-07-18,205,251,In Progress,AG0074,V00140,22.301377,83.14613,1,1,1,0,6,1,cost_anomaly
MPLADS-W000019,MP0001,Haryana,District 001,Constituency 001,Health,Clinic Building,Clinic Building for public use in Constituency 001,1991542.93,1958801.0,2016666.82,2025-05-14,2025-06-19,2025-07-14,161,175,Completed,AG0074,V00132,22.487824,83.211526,1,1,1,1,4,0,none
MPLADS-W000020,MP0001,Haryana,District 001,Constituency 001,Health,Ambulance Shed,Ambulance Shed for public use in Constituency 001,3534964.43,3652397.18,3745377.22,2024-12-07,2025-01-31,2025-03-11,151,162,In Progress,AG0074,V00383,22.296106,83.214622,1,1,1,0,3,0,none
MPLADS-W000021,MP0001,Haryana,District 001,Constituency 001,Health,Ambulance Shed,Ambulance Shed for public use in Constituency 001,1665075.57,1643184.5,1542399.43,2025-03-21,2025-04-25,2025-05-19,259,259,Completed,AG0119,V00383,22.472801,83.212746,1,1,1,0,3,0,none
MPLADS-W000022,MP0001,Haryana,District 001,Constituency 001,Electricity,Transformer Setup,Transformer Setup for public use in Constituency 001,2028877.66,1997575.99,1650239.04,2024-08-17,2024-09-25,2024-10-18,149,319,In Progress,AG0074,V00140,22.356732,83.232237,0,1,1,0,3,1,delay_anomaly
MPLADS-W000023,MP0001,Haryana,District 001,Constituency 001,Water,Water Tank,Water Tank for public use in Constituency 001,1444252.34,1418806.17,1369478.17,2024-05-22,2024-06-23,2024-07-17,148,137,Completed,AG0074,V00132,22.459582,83.177553,1,1,1,0,4,0,none
MPLADS-W000024,MP0001,Haryana,District 001,Constituency 001,Water,Borewell,Borewell for public use in Constituency 001,1743476.18,1684365.42,1723878.11,2025-02-21,2025-04-13,2025-05-01,93,93,Completed,AG0074,V00383,22.403739,83.270614,1,1,1,0,3,0,none
MPLADS-W000025,MP0001,Haryana,District 001,Constituency 001,Sports,Sports Complex,Sports Complex for public use in Constituency 001,4075084.19,4034047.32,4539643.74,2025-05-26,2025-06-19,2025-07-16,215,206,Completed,AG0074,V00132,22.444223,83.145716,0,1,1,6,5,1,duplicate_work
MPLADS-W000026,MP0001,Haryana,District 001,Constituency 001,Community,Bus Shelter,Bus Shelter for public use in Constituency 001,2568358.23,2625396.8,2554092.88,2025-05-03,2025-06-25,2025-07-22,205,194,Completed,AG0119,V00132,22.574333,83.209287,1,1,1,1,3,0,none
MPLADS-W000027,MP0001,Haryana,District 001,Constituency 001,Drainage,RCC Drain,RCC Drain for public use in Constituency 001,3571978.65,3575867.21,3540850.45,2025-02-15,2025-03-20,2025-04-12,259,393,Completed,AG0119,V00140,22.449471,83.115319,0,1,1,0,5,1,delay_anomaly
MPLADS-W000028,MP0001,Haryana,District 001,Constituency 001,Water,Drinking Water Pipeline,Drinking Water Pipeline for public use in Constituency 001,1457618.93,1414922.6,1303856.72,2024-07-28,2024-09-04,2024-10-11,162,161,In Progress,AG0119,V00142,22.301355,83.30378,1,1,1,0,2,0,none
MPLADS-W000029,MP0002,Manipur,District 002,Constituency 002,Community,Community Hall,Community Hall for public use in Constituency 002,1776506.42,1785854.63,1836555.77,2025-01-04,2025-02-07,2025-03-14,128,107,In Progress,AG0037,V00207,32.367728,87.839084,1,1,1,0,2,0,none
MPLADS-W000030,MP0002,Manipur,District 002,Constituency 002,Sports,Sports Complex,Sports Complex for public use in Constituency 002,2933831.85,2936755.74,2941412.15,2024-11-26,2025-01-04,2025-02-10,193,195,Completed,AG0071,V00237,32.436062,87.905217,1,1,1,0,3,0,none
MPLADS-W000031,MP0002,Manipur,District 002,Constituency 002,Electricity,Electrification,Electrification for public use in Constituency 002,2100663.29,2125040.09,2053612.04,2024-04-14,2024-05-09,2024-05-31,262,268,Sanctioned,AG0037,V00207,32.266091,88.054624,1,1,1,0,2,0,none
MPLADS-W000032,MP0002,Manipur,District 002,Constituency 002,Road,Road Repair,Road Repair for public use in Constituency 002,3578625.98,3631069.7,3669138.66,2024-11-27,2025-01-19,2025-02-23,203,184,Completed,AG0040,V00204,32.385307,88.028968,1,1,1,1,3,0,none
MPLADS-W000033,MP0002,Manipur,District 002,Constituency 002,Sports,Open Gym,Open Gym for public use in Constituency 002,2975411.02,2852624.14,2401444.07,2024-10-27,2024-12-07,2025-01-01,261,435,In Progress,AG0040,V00204,32.375647,88.000513,0,1,1,0,5,1,delay_anomaly
MPLADS-W000034,MP0002,Manipur,District 002,Constituency 002,Electricity,Electrification,Electrification for public use in Constituency 002,1752584.11,1702112.29,1615313.45,2024-09-13,2024-10-10,2024-11-18,193,163,Completed,AG0071,V00191,32.306358,88.004107,1,1,1,0,4,0,none
MPLADS-W000035,MP0002,Manipur,District 002,Constituency 002,Electricity,Transformer Setup,Transformer Setup for public use in Constituency 002,2202820.24,2326115.98,2439757.84,2025-02-15,2025-04-04,2025-05-13,103,104,Completed,AG0071,V00191,32.398396,88.035884,1,1,1,5,6,1,duplicate_work
MPLADS-W000036,MP0002,Manipur,District 002,Constituency 002,Education,Smart Classroom,Smart Classroom for public use in Constituency 002,2682724.75,2817447.11,2388385.47,2025-01-08,2025-01-28,2025-03-01,194,402,Completed,AG0037,V00207,32.332569,88.07204,1,1,1,0,3,1,delay_anomaly
MPLADS-W000037,MP0002,Manipur,District 002,Constituency 002,Water,RO Plant,RO Plant for public use in Constituency 002,1995555.92,1930155.48,1939436.54,2025-06-02,2025-07-22,2025-08-21,152,131,Completed,AG0071,V00204,32.246883,88.035576,1,1,1,0,4,0,none
MPLADS-W000038,MP0002,Manipur,District 002,Constituency 002,Water,RO Plant,RO Plant for public use in Constituency 002,2785207.6,4628962.54,6325291.5,2024-09-22,2024-11-13,2024-12-06,90,137,In Progress,AG0040,V00207,32.409529,88.069244,1,1,0,1,7,1,cost_anomaly
MPLADS-W000039,MP0002,Manipur,District 002,Constituency 002,Community,Crematorium Shed,Crematorium Shed for public use in Constituency 002,2658574.65,4464648.42,5315165.65,2025-07-22,2025-08-31,2025-09-21,268,292,In Progress,AG0040,V00191,32.371534,87.865425,1,1,0,1,6,1,cost_anomaly
MPLADS-W000040,MP0002,Manipur,District 002,Constituency 002,Sports,Sports Complex,Sports Complex for public use in Constituency 002,3105816.98,3021839.14,3059818.41,2024-06-04,2024-07-26,2024-08-28,174,172,Completed,AG0071,V00237,32.48033,88.071023,1,1,1,0,3,0,none
MPLADS-W000041,MP0002,Manipur,District 002,Constituency 002,Education,School Building,School Building for public use in Constituency 002,1902796.4,1921570.54,1868085.75,2024-11-27,2025-01-02,2025-01-27,249,260,In Progress,AG0037,V00237,32.329723,87.889914,1,1,1,0,3,0,none
MPLADS-W000042,MP0002,Manipur,District 002,Constituency 002,Electricity,Transformer Setup,Transformer Setup for public use in Constituency 002,2708998.47,2883975.57,3084865.27,2025-06-21,2025-08-14,2025-08-30,248,269,Completed,AG0037,V00204,32.364312,87.807232,1,1,1,2,6,1,duplicate_work
MPLADS-W000043,MP0002,Manipur,District 002,Constituency 002,Sports,Playground,Playground for public use in Constituency 002,1662589.98,1579966.11,1641102.56,2025-03-22,2025-04-30,2025-05-15,101,266,Completed,AG0037,V00191,32.227984,87.81538,0,1,1,0,3,1,delay_anomaly
MPLADS-W000044,MP0002,Manipur,District 002,Constituency 002,Education,School Toilet,School Toilet for public use in Constituency 002,2402295.44,2587011.85,2955453.45,2024-05-11,2024-06-24,2024-07-28,264,267,In Progress,AG0037,V00204,32.463412,87.99162,0,1,1,4,6,1,duplicate_work
MPLADS-W000045,MP0002,Manipur,District 002,Constituency 002,Sports,Open Gym,Open Gym for public use in Constituency 002,3047903.57,2947128.96,3021982.46,2025-03-13,2025-05-06,2025-05-26,108,100,Completed,AG0040,V00207,32.453926,87.976137,1,1,1,1,3,0,none
MPLADS-W000046,MP0002,Manipur,District 002,Constituency 002,Sports,Open Gym,Open Gym for public use in Constituency 002,3790432.42,4043983.54,4357175.17,2024-07-11,2024-08-24,2024-09-23,117,147,In Progress,AG0040,V00204,32.520581,88.055461,0,1,1,4,3,1,duplicate_work
MPLADS-W000047,MP0002,Manipur,District 002,Constituency 002,Road,Bridge Approach,Bridge Approach for public use in Constituency 002,3439459.31,3492612.77,3233026.21,2025-06-01,2025-07-09,2025-08-17,148,140,Completed,AG0037,V00191,32.427383,87.797701,1,1,1,0,2,0,none
MPLADS-W000048,MP0002,Manipur,District 002,Constituency 002,Drainage,Storm Water Drain,Storm Water Drain for public use in Constituency 002,3257052.37,3387166.01,3323279.74,2024-09-06,2024-10-24,2024-11-09,238,216,Completed,AG0040,V00191,32.368371,87.878308,1,1,1,0,3,0,none
MPLADS-W000049,MP0002,Manipur,District 002,Constituency 002,Health,Health Sub-centre,Health Sub-centre for public use in Constituency 002,1796135.55,1829331.54,1721741.04,2025-05-08,2025-07-01,2025-07-27,225,212,In Progress,AG0040,V00207,32.260993,87.910981,1,1,1,0,3,0,none
MPLADS-W000050,MP0002,Manipur,District 002,Constituency 002,Electricity,Solar Street Light,Solar Street Light for public use in Constituency 002,3903828.55,3980363.75,3685964.45,2024-11-26,2024-12-20,2025-01-08,147,163,Sanctioned,AG0037,V00207,32.362951,87.941182,1,1,1,0,3,0,none
MPLADS-W000051,MP0002,Manipur,District 002,Constituency 002,Drainage,Sewage Channel,Sewage Channel for public use in Constituency 002,3432843.23,3474083.31,3335525.39,2024-04-08,2024-05-14,2024-06-15,121,134,Completed,AG0037,V00207,32.394611,87.92877,1,1,1,0,3,0,none
MPLADS-W000052,MP0002,Manipur,District 002,Constituency 002,Drainage,RCC Drain,RCC Drain for public use in Constituency 002,4183856.74,4366406.01,4533230.81,2024-11-28,2024-12-19,2025-01-22,233,246,In Progress,AG0071,V00191,32.347754,87.95618,0,1,1,5,5,1,duplicate_work
MPLADS-W000053,MP0002,Manipur,District 002,Constituency 002,Road,Road Construction,Road Construction for public use in Constituency 002,3930799.07,4106144.86,4444208.02,2024-09-03,2024-10-24,2024-11-11,114,116,Completed,AG0040,V00204,32.447765,87.940502,0,1,1,4,6,1,duplicate_work
MPLADS-W000054,MP0002,Manipur,District 002,Constituency 002,Sports,Stadium Pavilion,Stadium Pavilion for public use in Constituency 002,2752798.71,2835749.43,2739123.17,2025-07-25,2025-08-31,2025-09-16,266,264,In Progress,AG0071,V00207,32.364991,88.081554,1,1,1,0,2,0,none
MPLADS-W000055,MP0002,Manipur,District 002,Constituency 002,Electricity,Solar Street Light,Solar Street Light for public use in Constituency 002,1420443.89,1384702.44,1332410.58,2024-10-21,2024-11-27,2024-12-18,121,120,Completed,AG0037,V00204,32.506185,87.805461,1,1,1,0,2,0,none
MPLADS-W000056,MP0002,Manipur,District 002,Constituency 002,Road,Culvert Construction,Culvert Construction for public use in Constituency 002,1449328.3,1429504.47,1383343.89,2024-08-03,2024-08-31,2024-10-10,234,245,Completed,AG0037,V00204,32.237687,87.928386,0,1,1,3,5,1,duplicate_work
MPLADS-W000057,MP0003,Sikkim,District 003,Constituency 003,Water,Borewell,Borewell for public use in Constituency 003,2104058.4,2471413.55,3113948.43,2024-06-06,2024-11-26,2025-01-22,134,207,Completed,AG0043,V00008,29.509986,82.04057,0,1,0,3,6,1,vendor_anomaly
MPLADS-W000058,MP0003,Sikkim,District 003,Constituency 003,Road,Road Repair,Road Repair for public use in Constituency 003,962717.28,1579457.5,2272793.53,2025-04-15,2025-09-04,2025-12-05,119,178,Completed,AG0051,V00013,29.28753,82.190935,1,1,0,1,7,1,cost_anomaly
MPLADS-W000059,MP0003,Sikkim,District 003,Constituency 003,Water,RO Plant,RO Plant for public use in Constituency 003,2241435.83,2305515.81,2365683.44,2025-02-24,2025-04-07,2025-05-09,212,209,In Progress,AG0055,V00013,29.506168,82.104244,1,1,1,0,3,0,none
MPLADS-W000060,MP0003,Sikkim,District 003,Constituency 003,Drainage,Drain Repair,Drain Repair for public use in Constituency 003,1259506.39,1282793.57,1404510.84,2025-02-06,2025-04-19,2025-05-22,122,148,In Progress,AG0051,V00049,29.501891,82.031662,0,1,1,6,5,1,duplicate_work
MPLADS-W000061,MP0003,Sikkim,District 003,Constituency 003,Community,Community Hall,Community Hall for public use in Constituency 003,2173404.68,2210774.03,2170764.62,2025-05-12,2025-07-15,2025-10-31,256,261,Completed,AG0043,V00008,29.419599,82.134524,1,1,1,0,2,0,none
MPLADS-W000062,MP0003,Sikkim,District 003,Constituency 003,Electricity,Transformer Setup,Transformer Setup for public use in Constituency 003,1008579.92,984859.29,720825.97,2024-10-22,2025-03-12,2025-07-08,114,269,In Progress,AG0043,V00013,29.324237,82.107662,0,1,1,0,5,1,delay_anomaly
MPLADS-W000063,MP0003,Sikkim,District 003,Constituency 003,Drainage,Sewage Channel,Sewage Channel for public use in Constituency 003,1618384.59,1622720.7,2172886.87,2024-05-20,2024-09-27,2024-11-07,232,323,Completed,AG0055,V00049,29.36639,82.245105,0,0,0,1,9,1,payment_anomaly
MPLADS-W000064,MP0003,Sikkim,District 003,Constituency 003,Community,Community Hall,Community Hall for public use in Constituency 003,2336719.5,2341988.95,2441334.85,2025-08-09,2025-11-25,2026-03-06,169,181,Completed,AG0055,V00049,29.278509,82.151052,0,1,1,5,4,1,duplicate_work
MPLADS-W000065,MP0003,Sikkim,District 003,Constituency 003,Electricity,Solar Street Light,Solar Street Light for public use in Constituency 003,1744831.99,1709591.96,1677836.96,2025-04-26,2025-08-10,2025-11-16,147,152,Completed,AG0051,V00049,29.345802,82.019802,1,1,1,1,4,0,none
MPLADS-W000066,MP0003,Sikkim,District 003,Constituency 003,Road,Culvert Construction,Culvert Construction for public use in Constituency 003,1817482.69,2147321.93,2571559.7,2024-04-15,2024-07-05,2024-09-02,269,398,In Progress,AG0043,V00013,29.408113,82.26686,0,1,0,3,9,1,vendor_anomaly
MPLADS-W000067,MP0003,Sikkim,District 003,Constituency 003,Road,Road Construction,Road Construction for public use in Constituency 003,992698.26,1448415.62,1961353.16,2025-04-18,2025-10-05,2025-11-26,186,219,Completed,AG0043,V00049,29.396803,82.263964,1,1,1,0,3,1,cost_anomaly
MPLADS-W000068,MP0003,Sikkim,District 003,Constituency 003,Road,Road Construction,Road Construction for public use in Constituency 003,1933111.45,2987899.67,4114689.76,2024-08-18,2025-01-13,2025-05-02,198,225,Completed,AG0055,V00049,29.563934,82.2439,0,1,0,1,6,1,cost_anomaly
MPLADS-W000069,MP0003,Sikkim,District 003,Constituency 003,Sports,Open Gym,Open Gym for public use in Constituency 003,1937051.31,2028850.13,1523814.0,2024-04-24,2024-07-24,2024-10-07,243,387,Sanctioned,AG0043,V00013,29.308977,82.142826,1,0,1,0,4,1,delay_anomaly
MPLADS-W000070,MP0003,Sikkim,District 003,Constituency 003,Sports,Stadium Pavilion,Stadium Pavilion for public use in Constituency 003,777089.43,1140037.11,1382984.57,2024-06-29,2024-09-05,2024-11-17,226,278,In Progress,AG0043,V00008,29.381944,82.204296,1,1,0,1,3,1,cost_anomaly
MPLADS-W000071,MP0003,Sikkim,District 003,Constituency 003,Drainage,Drain Repair,Drain Repair for public use in Constituency 003,2293546.53,2941673.7,3854394.63,2025-01-20,2025-06-13,2025-09-19,193,210,In Progress,AG0051,V00008,29.5429,81.996307,1,1,0,1,4,1,cost_anomaly
MPLADS-W000072,MP0003,Sikkim,District 003,Constituency 003,Drainage,Sewage Channel,Sewage Channel for public use in Constituency 003,2101746.89,2965587.16,3696985.21,2025-06-07,2025-08-08,2025-10-03,201,236,Completed,AG0043,V00049,29.571379,82.031812,1,1,1,0,5,1,cost_anomaly
MPLADS-W000073,MP0003,Sikkim,District 003,Constituency 003,Drainage,RCC Drain,RCC Drain for public use in Constituency 003,1885962.07,1934460.07,1788466.73,2025-07-08,2025-11-09,2026-01-17,255,240,Completed,AG0051,V00013,29.479255,82.257019,1,1,1,0,3,0,none
MPLADS-W000074,MP0003,Sikkim,District 003,Constituency 003,Drainage,RCC Drain,RCC Drain for public use in Constituency 003,951025.67,1572330.35,2088735.51,2025-08-01,2026-01-09,2026-04-03,234,280,Completed,AG0055,V00008,29.463121,82.155437,1,1,1,0,6,1,cost_anomaly
MPLADS-W000075,MP0003,Sikkim,District 003,Constituency 003,Water,Water Tank,Water Tank for public use in Constituency 003,1237954.05,2068424.16,2966544.56,2025-01-28,2025-03-18,2025-05-27,219,231,Completed,AG0051,V00049,29.465731,82.206581,0,1,1,1,3,1,cost_anomaly
MPLADS-W000076,MP0003,Sikkim,District 003,Constituency 003,Community,Crematorium Shed,Crematorium Shed for public use in Constituency 003,1752968.34,1967987.03,2226358.22,2025-01-23,2025-07-18,2025-11-14,100,213,Completed,AG0055,V00049,29.44404,82.150797,0,0,0,1,8,1,ghost_asset
MPLADS-W000077,MP0003,Sikkim,District 003,Constituency 003,Education,School Building,School Building for public use in Constituency 003,2034899.17,2060371.02,1471648.72,2024-11-17,2025-01-17,2025-03-26,111,264,Sanctioned,AG0055,V00008,29.327339,82.103136,1,0,1,0,3,1,delay_anomaly
MPLADS-W000078,MP0003,Sikkim,District 003,Constituency 003,Community,Crematorium Shed,Crematorium Shed for public use in Constituency 003,1937940.69,2037150.54,2200242.44,2025-05-02,2025-08-31,2025-12-20,243,270,In Progress,AG0055,V00049,29.421923,82.156277,0,1,1,2,6,1,duplicate_work
MPLADS-W000079,MP0003,Sikkim,District 003,Constituency 003,Education,Smart Classroom,Smart Classroom for public use in Constituency 003,1287548.29,1284476.98,1286879.85,2024-05-12,2024-07-22,2024-09-29,169,183,Completed,AG0043,V00008,29.539689,82.101651,1,1,1,0,2,0,none
MPLADS-W000080,MP0003,Sikkim,District 003,Constituency 003,Community,Public Facility,Public Facility for public use in Constituency 003,818652.49,796494.68,734602.84,2025-05-22,2025-07-28,2025-11-15,269,286,Completed,AG0051,V00008,29.474118,82.071249,1,1,1,1,4,0,none
MPLADS-W000081,MP0003,Sikkim,District 003,Constituency 003,Electricity,Solar Street Light,Solar Street Light for public use in Constituency 003,1638307.11,1841443.31,1709843.22,2024-10-03,2025-01-25,2025-03-14,144,198,Completed,AG0043,V00008,29.399118,82.037723,0,0,0,0,5,1,ghost_asset
MPLADS-W000082,MP0003,Sikkim,District 003,Constituency 003,Drainage,Storm Water Drain,Storm Water Drain for public use in Constituency 003,1434421.11,1400662.26,1392480.07,2025-03-05,2025-07-04,2025-10-16,123,259,Completed,AG0043,V00008,29.330397,82.259788,1,0,1,0,3,1,delay_anomaly
MPLADS-W000083,MP0003,Sikkim,District 003,Constituency 003,Electricity,Street Lighting,Street Lighting for public use in Constituency 003,1430325.57,1683402.79,1885525.07,2025-08-10,2026-01-05,2026-04-18,162,221,Completed,AG0043,V00008,29.498745,82.201871,0,0,0,1,7,1,ghost_asset
MPLADS-W000084,MP0003,Sikkim,District 003,Constituency 003,Sports,Stadium Pavilion,Stadium Pavilion for public use in Constituency 003,1576467.43,1704941.77,2138335.85,2025-04-29,2025-08-14,2025-10-26,218,263,In Progress,AG0051,V00008,29.454557,81.980373,0,0,0,0,12,1,payment_anomaly
MPLADS-W000085,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Electricity,Solar Street Light,Solar Street Light for public use in Constituency 004,1888314.1,2018325.94,1987684.12,2025-03-31,2025-09-14,2025-10-24,162,367,In Progress,AG0092,V00047,21.670585,91.778704,1,1,1,0,5,1,delay_anomaly
MPLADS-W000086,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Electricity,Solar Street Light,Solar Street Light for public use in Constituency 004,1423321.42,1936758.07,2504244.92,2024-10-30,2024-12-17,2025-03-02,218,233,Completed,AG0007,V00020,21.756219,91.898831,1,1,0,0,5,1,cost_anomaly
MPLADS-W000087,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Electricity,Street Lighting,Street Lighting for public use in Constituency 004,1742827.23,1817792.88,1604078.51,2024-06-10,2024-07-24,2024-09-23,210,480,In Progress,AG0050,V00046,21.884628,91.863265,0,1,1,0,2,1,delay_anomaly
MPLADS-W000088,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Education,School Library,School Library for public use in Constituency 004,1960188.76,1880343.28,1944521.3,2024-05-27,2024-09-12,2024-11-06,167,420,Completed,AG0007,V00020,21.834318,91.848029,1,1,1,0,2,1,delay_anomaly
MPLADS-W000089,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Road,Road Repair,Road Repair for public use in Constituency 004,945380.19,1385579.89,1674289.7,2025-04-03,2025-06-13,2025-08-14,199,245,In Progress,AG0092,V00020,21.687809,91.919212,1,1,0,0,7,1,cost_anomaly
MPLADS-W000090,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Road,Bridge Approach,Bridge Approach for public use in Constituency 004,1418187.51,2200379.21,3144081.73,2025-06-22,2025-11-24,2025-12-24,252,309,Completed,AG0007,V00020,21.797588,91.908286,0,1,1,0,5,1,cost_anomaly
MPLADS-W000091,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Drainage,Drain Repair,Drain Repair for public use in Constituency 004,789396.29,841588.25,866819.94,2024-06-08,2024-07-24,2024-10-02,229,273,Completed,AG0092,V00020,21.930927,91.980959,1,1,1,5,4,1,duplicate_work
MPLADS-W000092,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Sports,Sports Complex,Sports Complex for public use in Constituency 004,1417311.78,1374590.9,1394571.59,2024-08-29,2024-11-23,2024-12-23,141,131,Completed,AG0007,V00047,21.877844,91.789382,1,1,1,1,4,0,none
MPLADS-W000093,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Water,Drinking Water Pipeline,Drinking Water Pipeline for public use in Constituency 004,1087722.83,1113254.49,1046876.83,2025-04-21,2025-07-13,2025-09-12,181,154,Completed,AG0050,V00047,21.913236,91.861365,1,1,1,1,3,0,none
MPLADS-W000094,MP0004,Andaman and Nicobar Islands,District 004,Constituency 004,Community,Crematorium Shed,Crematorium Shed for public use in Constituency 004,785642.95,1270452.91,1603378.79,2025-07-03,2025-11-13,2026-01-20,137,180,In Progress,AG0007,V00046,21.79586,91.767698,1,1,0,1,3,1,cost_anomaly
