mp_id,mp_name,state,constituency,constituency_type,party,house,tenure_start,by_election_flag,annual_allocation_inr
MP0057,MP Representative 057,Manipur,Constituency 057,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0058,MP Representative 058,Sikkim,Constituency 058,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0059,MP Representative 059,Andaman and Nicobar Islands,Constituency 059,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0060,MP Representative 060,Andhra Pradesh,Constituency 060,ST,BJP,Rajya Sabha,2022-06-01,0,147000000
MP0061,MP Representative 061,Haryana,Constituency 061,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0062,MP Representative 062,Manipur,Constituency 062,General,AAP,Lok Sabha,2024-06-01,1,147000000
MP0063,MP Representative 063,Sikkim,Constituency 063,General,TMC,Lok Sabha,2024-06-01,0,122500000
MP0064,MP Representative 064,Andaman and Nicobar Islands,Constituency 064,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0065,MP Representative 065,Andhra Pradesh,Constituency 065,General,DMK,Rajya Sabha,2022-06-01,0,147000000
MP0066,MP Representative 066,Haryana,Constituency 066,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0067,MP Representative 067,Manipur,Constituency 067,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0068,MP Representative 068,Sikkim,Constituency 068,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0069,MP Representative 069,Andaman and Nicobar Islands,Constituency 069,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0070,MP Representative 070,Andhra Pradesh,Constituency 070,General,TDP,Rajya Sabha,2022-06-01,0,147000000
MP0071,MP Representative 071,Haryana,Constituency 071,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0072,MP Representative 072,Manipur,Constituency 072,ST,BJP,Lok Sabha,2024-06-01,0,122500000
MP0073,MP Representative 073,Sikkim,Constituency 073,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0074,MP Representative 074,Andaman and Nicobar Islands,Constituency 074,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0075,MP Representative 075,Andhra Pradesh,Constituency 075,General,TMC,Rajya Sabha,2022-06-01,0,147000000
MP0076,MP Representative 076,Haryana,Constituency 076,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0077,MP Representative 077,Manipur,Constituency 077,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0078,MP Representative 078,Sikkim,Constituency 078,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0079,MP Representative 079,Andaman and Nicobar Islands,Constituency 079,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0080,MP Representative 080,Andhra Pradesh,Constituency 080,General,RJD,Rajya Sabha,2022-06-01,0,147000000
MP0081,MP Representative 081,Haryana,Constituency 081,General,YSRCP,Lok Sabha,2024-06-01,0,245000000
MP0082,MP Representative 082,Manipur,Constituency 082,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0083,MP Representative 083,Sikkim,Constituency 083,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0084,MP Representative 084,Andaman and Nicobar Islands,Constituency 084,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0085,MP Representative 085,Andhra Pradesh,Constituency 085,General,INC,Rajya Sabha,2022-06-01,0,147000000
MP0086,MP Representative 086,Haryana,Constituency 086,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0087,MP Representative 087,Manipur,Constituency 087,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0088,MP Representative 088,Sikkim,Constituency 088,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0089,MP Representative 089,Andaman and Nicobar Islands,Constituency 089,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0090,MP Representative 090,Andhra Pradesh,Constituency 090,ST,SP,Rajya Sabha,2022-06-01,0,122500000
MP0091,MP Representative 091,Haryana,Constituency 091,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0092,MP Representative 092,Manipur,Constituency 092,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0093,MP Representative 093,Sikkim,Constituency 093,General,YSRCP,Lok Sabha,2024-06-01,1,147000000
MP0094,MP Representative 094,Andaman and Nicobar Islands,Constituency 094,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0095,MP Representative 095,Andhra Pradesh,Constituency 095,General,Other,Rajya Sabha,2022-06-01,0,147000000
MP0096,MP Representative 096,Haryana,Constituency 096,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0097,MP Representative 097,Manipur,Constituency 097,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0098,MP Representative 098,Sikkim,Constituency 098,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0099,MP Representative 099,Andaman and Nicobar Islands,Constituency 099,General,TMC,Lok Sabha,2024-06-01,0,122500000
MP0100,MP Representative 100,Andhra Pradesh,Constituency 100,General,BJD,Rajya Sabha,2022-06-01,0,147000000
MP0101,MP Representative 101,Haryana,Constituency 101,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0102,MP Representative 102,Manipur,Constituency 102,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0103,MP Representative 103,Sikkim,Constituency 103,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0104,MP Representative 104,Andaman and Nicobar Islands,Constituency 104,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0105,MP Representative 105,Andhra Pradesh,Constituency 105,General,YSRCP,Rajya Sabha,2022-06-01,0,147000000
MP0106,MP Representative 106,Haryana,Constituency 106,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0107,MP Representative 107,Manipur,Constituency 107,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0108,MP Representative 108,Sikkim,Constituency 108,ST,BJP,Lok Sabha,2024-06-01,0,122500000
MP0109,MP Representative 109,Andaman and Nicobar Islands,Constituency 109,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0110,MP Representative 110,Andhra Pradesh,Constituency 110,General,AAP,Rajya Sabha,2022-06-01,0,147000000
MP0111,MP Representative 111,Haryana,Constituency 111,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0112,MP Representative 112,Manipur,Constituency 112,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0113,MP Representative 113,Sikkim,Constituency 113,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0114,MP Representative 114,Andaman and Nicobar Islands,Constituency 114,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0115,MP Representative 115,Andhra Pradesh,Constituency 115,General,JD(U),Rajya Sabha,2022-06-01,0,147000000
MP0116,MP Representative 116,Haryana,Constituency 116,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0117,MP Representative 117,Manipur,Constituency 117,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0118,MP Representative 118,Sikkim,Constituency 118,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0119,MP Representative 119,Andaman and Nicobar Islands,Constituency 119,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0120,MP Representative 120,Andhra Pradesh,Constituency 120,ST,BJP,Rajya Sabha,2022-06-01,0,147000000
MP0121,MP Representative 121,Haryana,Constituency 121,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0122,MP Representative 122,Manipur,Constituency 122,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0123,MP Representative 123,Sikkim,Constituency 123,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0124,MP Representative 124,Andaman and Nicobar Islands,Constituency 124,General,BJD,Lok Sabha,2024-06-01,1,147000000
MP0125,MP Representative 125,Andhra Pradesh,Constituency 125,General,DMK,Rajya Sabha,2022-06-01,0,147000000
MP0126,MP Representative 126,Haryana,Constituency 126,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0127,MP Representative 127,Manipur,Constituency 127,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0128,MP Representative 128,Sikkim,Constituency 128,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0129,MP Representative 129,Andaman and Nicobar Islands,Constituency 129,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0130,MP Representative 130,Andhra Pradesh,Constituency 130,General,TDP,Rajya Sabha,2022-06-01,0,147000000
MP0131,MP Representative 131,Haryana,Constituency 131,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0132,MP Representative 132,Manipur,Constituency 132,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0133,MP Representative 133,Sikkim,Constituency 133,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0134,MP Representative 134,Andaman and Nicobar Islands,Constituency 134,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0135,MP Representative 135,Andhra Pradesh,Constituency 135,General,TMC,Rajya Sabha,2022-06-01,0,122500000
MP0136,MP Representative 136,Haryana,Constituency 136,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0137,MP Representative 137,Manipur,Constituency 137,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0138,MP Representative 138,Sikkim,Constituency 138,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0139,MP Representative 139,Andaman and Nicobar Islands,Constituency 139,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0140,MP Representative 140,Andhra Pradesh,Constituency 140,General,RJD,Rajya Sabha,2022-06-01,0,147000000
MP0141,MP Representative 141,Haryana,Constituency 141,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0142,MP Representative 142,Manipur,Constituency 142,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0143,MP Representative 143,Sikkim,Constituency 143,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0144,MP Representative 144,Andaman and Nicobar Islands,Constituency 144,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0145,MP Representative 145,Andhra Pradesh,Constituency 145,General,INC,Rajya Sabha,2022-06-01,0,147000000
MP0146,MP Representative 146,Haryana,Constituency 146,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0147,MP Representative 147,Manipur,Constituency 147,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0148,MP Representative 148,Sikkim,Constituency 148,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0149,MP Representative 149,Andaman and Nicobar Islands,Constituency 149,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0150,MP Representative 150,Andhra Pradesh,Constituency 150,ST,SP,Rajya Sabha,2022-06-01,0,147000000
MP0151,MP Representative 151,Haryana,Constituency 151,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0152,MP Representative 152,Manipur,Constituency 152,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0153,MP Representative 153,Sikkim,Constituency 153,General,YSRCP,Lok Sabha,2024-06-01,0,245000000
MP0154,MP Representative 154,Andaman and Nicobar Islands,Constituency 154,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0155,MP Representative 155,Andhra Pradesh,Constituency 155,General,Other,Rajya Sabha,2022-06-01,1,147000000
MP0156,MP Representative 156,Haryana,Constituency 156,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0157,MP Representative 157,Manipur,Constituency 157,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0158,MP Representative 158,Sikkim,Constituency 158,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0159,MP Representative 159,Andaman and Nicobar Islands,Constituency 159,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0160,MP Representative 160,Andhra Pradesh,Constituency 160,General,BJD,Rajya Sabha,2022-06-01,0,147000000
MP0161,MP Representative 161,Haryana,Constituency 161,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0162,MP Representative 162,Manipur,Constituency 162,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0163,MP Representative 163,Sikkim,Constituency 163,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0164,MP Representative 164,Andaman and Nicobar Islands,Constituency 164,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0165,MP Representative 165,Andhra Pradesh,Constituency 165,General,YSRCP,Rajya Sabha,2022-06-01,0,147000000
MP0166,MP Representative 166,Haryana,Constituency 166,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0167,MP Representative 167,Manipur,Constituency 167,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0168,MP Representative 168,Sikkim,Constituency 168,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0169,MP Representative 169,Andaman and Nicobar Islands,Constituency 169,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0170,MP Representative 170,Andhra Pradesh,Constituency 170,General,AAP,Rajya Sabha,2022-06-01,0,147000000
MP0171,MP Representative 171,Haryana,Constituency 171,General,TMC,Lok Sabha,2024-06-01,0,245000000
MP0172,MP Representative 172,Manipur,Constituency 172,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0173,MP Representative 173,Sikkim,Constituency 173,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0174,MP Representative 174,Andaman and Nicobar Islands,Constituency 174,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0175,MP Representative 175,Andhra Pradesh,Constituency 175,General,JD(U),Rajya Sabha,2022-06-01,0,147000000
MP0176,MP Representative 176,Haryana,Constituency 176,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0177,MP Representative 177,Manipur,Constituency 177,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0178,MP Representative 178,Sikkim,Constituency 178,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0179,MP Representative 179,Andaman and Nicobar Islands,Constituency 179,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0180,MP Representative 180,Andhra Pradesh,Constituency 180,ST,BJP,Rajya Sabha,2022-06-01,0,165000000
MP0181,MP Representative 181,Haryana,Constituency 181,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0182,MP Representative 182,Manipur,Constituency 182,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0183,MP Representative 183,Sikkim,Constituency 183,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0184,MP Representative 184,Andaman and Nicobar Islands,Constituency 184,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0185,MP Representative 185,Andhra Pradesh,Constituency 185,General,DMK,Rajya Sabha,2022-06-01,0,147000000
MP0186,MP Representative 186,Haryana,Constituency 186,ST,SP,Lok Sabha,2024-06-01,1,147000000
MP0187,MP Representative 187,Manipur,Constituency 187,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0188,MP Representative 188,Sikkim,Constituency 188,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0189,MP Representative 189,Andaman and Nicobar Islands,Constituency 189,General,YSRCP,Lok Sabha,2024-06-01,0,122500000
MP0190,MP Representative 190,Andhra Pradesh,Constituency 190,General,TDP,Rajya Sabha,2022-06-01,0,147000000
MP0191,MP Representative 191,Haryana,Constituency 191,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0192,MP Representative 192,Manipur,Constituency 192,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0193,MP Representative 193,Sikkim,Constituency 193,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0194,MP Representative 194,Andaman and Nicobar Islands,Constituency 194,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0195,MP Representative 195,Andhra Pradesh,Constituency 195,General,TMC,Rajya Sabha,2022-06-01,0,147000000
MP0196,MP Representative 196,Haryana,Constituency 196,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0197,MP Representative 197,Manipur,Constituency 197,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0198,MP Representative 198,Sikkim,Constituency 198,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0199,MP Representative 199,Andaman and Nicobar Islands,Constituency 199,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0200,MP Representative 200,Andhra Pradesh,Constituency 200,General,RJD,Rajya Sabha,2022-06-01,0,147000000
MP0201,MP Representative 201,Haryana,Constituency 201,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0202,MP Representative 202,Manipur,Constituency 202,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0203,MP Representative 203,Sikkim,Constituency 203,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0204,MP Representative 204,Andaman and Nicobar Islands,Constituency 204,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0205,MP Representative 205,Andhra Pradesh,Constituency 205,General,INC,Rajya Sabha,2022-06-01,0,147000000
MP0206,MP Representative 206,Haryana,Constituency 206,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0207,MP Representative 207,Manipur,Constituency 207,General,TMC,Lok Sabha,2024-06-01,0,245000000
MP0208,MP Representative 208,Sikkim,Constituency 208,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0209,MP Representative 209,Andaman and Nicobar Islands,Constituency 209,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0210,MP Representative 210,Andhra Pradesh,Constituency 210,ST,SP,Rajya Sabha,2022-06-01,0,147000000
MP0211,MP Representative 211,Haryana,Constituency 211,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0212,MP Representative 212,Manipur,Constituency 212,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0213,MP Representative 213,Sikkim,Constituency 213,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0214,MP Representative 214,Andaman and Nicobar Islands,Constituency 214,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0215,MP Representative 215,Andhra Pradesh,Constituency 215,General,Other,Rajya Sabha,2022-06-01,0,147000000
MP0216,MP Representative 216,Haryana,Constituency 216,ST,BJP,Lok Sabha,2024-06-01,0,165000000
MP0217,MP Representative 217,Manipur,Constituency 217,General,INC,Lok Sabha,2024-06-01,1,147000000
MP0218,MP Representative 218,Sikkim,Constituency 218,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0219,MP Representative 219,Andaman and Nicobar Islands,Constituency 219,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0220,MP Representative 220,Andhra Pradesh,Constituency 220,General,BJD,Rajya Sabha,2022-06-01,0,147000000
MP0221,MP Representative 221,Haryana,Constituency 221,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0222,MP Representative 222,Manipur,Constituency 222,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0223,MP Representative 223,Sikkim,Constituency 223,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0224,MP Representative 224,Andaman and Nicobar Islands,Constituency 224,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0225,MP Representative 225,Andhra Pradesh,Constituency 225,General,YSRCP,Rajya Sabha,2022-06-01,0,165000000
MP0226,MP Representative 226,Haryana,Constituency 226,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0227,MP Representative 227,Manipur,Constituency 227,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0228,MP Representative 228,Sikkim,Constituency 228,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0229,MP Representative 229,Andaman and Nicobar Islands,Constituency 229,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0230,MP Representative 230,Andhra Pradesh,Constituency 230,General,AAP,Rajya Sabha,2022-06-01,0,147000000
MP0231,MP Representative 231,Haryana,Constituency 231,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0232,MP Representative 232,Manipur,Constituency 232,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0233,MP Representative 233,Sikkim,Constituency 233,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0234,MP Representative 234,Andaman and Nicobar Islands,Constituency 234,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0235,MP Representative 235,Andhra Pradesh,Constituency 235,General,JD(U),Rajya Sabha,2022-06-01,0,147000000
MP0236,MP Representative 236,Haryana,Constituency 236,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0237,MP Representative 237,Manipur,Constituency 237,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0238,MP Representative 238,Sikkim,Constituency 238,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0239,MP Representative 239,Andaman and Nicobar Islands,Constituency 239,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0240,MP Representative 240,Andhra Pradesh,Constituency 240,ST,BJP,Rajya Sabha,2022-06-01,0,147000000
MP0241,MP Representative 241,Haryana,Constituency 241,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0242,MP Representative 242,Manipur,Constituency 242,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0243,MP Representative 243,Sikkim,Constituency 243,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0244,MP Representative 244,Andaman and Nicobar Islands,Constituency 244,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0245,MP Representative 245,Andhra Pradesh,Constituency 245,General,DMK,Rajya Sabha,2022-06-01,0,147000000
MP0246,MP Representative 246,Haryana,Constituency 246,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0247,MP Representative 247,Manipur,Constituency 247,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0248,MP Representative 248,Sikkim,Constituency 248,General,RJD,Lok Sabha,2024-06-01,1,147000000
MP0249,MP Representative 249,Andaman and Nicobar Islands,Constituency 249,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0250,MP Representative 250,Andhra Pradesh,Constituency 250,General,TDP,Rajya Sabha,2022-06-01,0,147000000
MP0251,MP Representative 251,Haryana,Constituency 251,General,Other,Lok Sabha,2024-06-01,0,147000000
